# Standard Sim (Up to date)
# 770 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (104 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.299,-29.928,0.299,29.928,0,0,0,0,0,0,42,-88,32.162,180,0,0,0,38.973,8.5,219.318,1.593,NaN,70.493,NaN,2.687e-4,1.643e4,12.034,-8.845e-5,1.318,-1.318,1.119,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.244e-5,5.15,20.831,90,0,0,56.504,988.227,1114.004,0.01,0.003
0.02,-0.001,-0.255,-25.461,0.255,25.461,0,0,0,0,0,0,42,-88,32.162,180,0,0,0,38.973,8.5,219.317,1.593,NaN,70.493,NaN,2.286e-4,1.398e4,36.103,-6.708e-5,1.381,-1.381,1.182,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.76e-5,5.15,20.831,90,0,0,56.504,988.226,1114.004,0.01,0.004
0.03,0.004,0.723,72.342,0.723,72.342,0,0,0,0,0,0,42,-88,32.162,0,0,0,0,38.962,8.489,219.273,1.593,NaN,70.486,NaN,6.493e-4,3.971e4,562.936,4.11e-4,1.048,1.048,0.849,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.839e-5,5.15,20.831,90,0,0,56.504,988.226,1114.004,0.01,0.005
0.04,0.024,3.358,263.552,3.358,263.552,0,0,0,0,0,0,42,-88,32.162,0,0,0,0,38.952,8.479,219.229,1.593,NaN,70.48,NaN,0.003,1.844e5,1592.534,0.006,0.766,0.766,0.567,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64e-4,5.15,20.831,90,0,0,56.504,988.226,1114.004,0.01,0.006
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.076,7.063,370.608,7.063,370.608,0,0,0,0,0,0,42,-88,32.162,0,0,0,0,38.932,8.459,219.139,1.593,NaN,70.467,NaN,0.006,3.878e5,2167.95,0.025,0.677,0.677,0.478,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.656e-4,5.15,20.831,90,0,0,56.503,988.224,1114.004,0.01,0.007
0.06,0.166,10.95,388.739,10.95,388.739,0,0,0,0,0,0,42,-88,32.162,0,0,0,0,38.911,8.438,219.048,1.593,NaN,70.454,NaN,0.01,6.011e5,2264.373,0.057,0.635,0.635,0.436,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,90,0,0,56.503,988.221,1114.004,0.01,0.008
0.07,0.295,14.741,379.201,14.741,379.201,0,0,0,0,0,0,42,-88,32.162,0,0,0,0,38.891,8.418,218.957,1.592,NaN,70.441,NaN,0.013,8.093e5,2211.927,0.099,0.609,0.609,0.41,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.15,20.831,90,0,0,56.503,988.216,1114.003,0.01,0.009
