# Base - Ideal Conditions  (Up to date)
# 807 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (113 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.299,-29.885,0.3,29.999,-1.307e-4,0,1.307e-4,180,0.026,2.615,42,-88,32.162,91.329,0,0,0,42.673,8.5,219.384,1.67,NaN,70.493,NaN,0.002,1.328e5,12.034,-1.289e-7,0.813,-2.516e-5,0.614,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.261e-5,5.15,20.831,85,0,2.721,84.234,968.682,1144.634,0.01,0.002
0.02,-0.001,-0.258,-25.821,0.259,25.92,-1.13e-4,0,1.13e-4,180,0.023,2.259,42,-88,32.162,90.657,0,0,0,42.673,8.5,219.383,1.67,NaN,70.493,NaN,0.002,1.283e5,36.103,-1.471e-8,0.818,-3.075e-6,0.619,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.818e-5,5.15,20.831,85,0,2.63,84.234,968.682,1144.634,0.01,0.004
0.03,0.003,0.631,63.16,0.634,63.401,2.762e-4,0,2.762e-4,0,0.055,5.526,42,-88,32.162,71.317,0,0,0,42.662,8.489,219.339,1.67,NaN,70.487,NaN,0.002,1.308e5,562.936,2.853e-4,0.815,0.057,0.616,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.891e-5,5.15,20.831,85,0,2.538,84.234,968.682,1144.634,0.01,0.005
0.04,0.021,3.002,237.116,3.014,238.022,0.002,0,0.002,0,0.263,20.745,42,-88,32.162,37.071,0,0,0,42.652,8.479,219.294,1.67,NaN,70.482,NaN,0.004,1.981e5,1592.534,0.008,0.756,0.684,0.557,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.276e-4,5.15,20.831,85,0,2.447,84.234,968.682,1144.634,0.01,0.006
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.068,6.346,334.496,6.371,335.774,0.006,0,0.006,0,0.555,29.265,42,-88,32.162,19.645,0,0,0,42.632,8.459,219.204,1.67,NaN,70.47,NaN,0.006,3.42e5,2167.95,0.03,0.691,0.891,0.492,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.926e-4,5.15,20.831,85,0,2.356,84.234,968.681,1144.634,0.01,0.007
0.06,0.149,9.855,350.972,9.893,352.313,0.013,0,0.013,0,0.862,30.706,42,-88,32.162,13.571,0,0,0,42.611,8.438,219.113,1.67,NaN,70.458,NaN,0.009,5.093e5,2264.373,0.062,0.65,0.824,0.451,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,85,0,2.449,84.234,968.68,1144.634,0.01,0.008
0.07,0.265,13.277,342.279,13.328,343.586,0.023,0,0.023,0,1.162,29.946,42,-88,32.162,10.584,0,0,0,42.591,8.418,219.022,1.67,NaN,70.446,NaN,0.012,6.752e5,2211.927,0.1,0.624,0.752,0.425,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,85,0,2.541,84.234,968.677,1144.633,0.01,0.009
