# Base - Poor Conditions (Up to date)
# 858 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (117 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.29,-28.993,0.294,29.44,-2.556e-4,0,2.556e-4,180,0.051,5.112,42,-88,32.162,80.783,0,0,0,38.973,8.5,219.318,1.593,NaN,70.493,NaN,0.02,1.335e6,12.034,0.002,0.57,0.005,0.371,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23e-5,5.15,20.831,80,0,21.272,30.847,1033.963,1085.665,0.01,0.003
0.02,-0.001,-0.246,-24.594,0.25,24.973,-2.168e-4,0,2.168e-4,180,0.043,4.336,42,-88,32.162,80.659,0,0,0,38.973,8.5,219.317,1.593,NaN,70.493,NaN,0.02,1.346e6,36.103,0.002,0.57,0.006,0.371,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.74e-5,5.15,20.831,80,0,21.433,30.847,1033.963,1085.665,0.01,0.005
0.03,0.004,0.717,71.724,0.728,72.83,6.322e-4,0,6.322e-4,0,0.126,12.647,42,-88,32.162,78.109,0,0,0,38.962,8.489,219.273,1.593,NaN,70.486,NaN,0.02,1.367e6,562.936,0.004,0.568,0.011,0.369,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.988e-5,5.15,20.831,80,0,21.593,30.847,1033.963,1085.665,0.01,0.006
0.04,0.024,3.317,260.028,3.368,264.039,0.004,0,0.004,0,0.585,45.85,42,-88,32.162,71.554,0,0,0,38.952,8.479,219.229,1.593,NaN,70.48,NaN,0.021,1.421e6,1592.534,0.016,0.566,0.038,0.367,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.695e-4,5.15,20.831,80,0,21.753,30.847,1033.962,1085.665,0.01,0.007
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.075,6.971,365.454,7.078,371.092,0.013,0,0.013,0,1.229,64.439,42,-88,32.162,63.238,0,0,0,38.932,8.459,219.139,1.593,NaN,70.467,NaN,0.022,1.521e6,2167.95,0.05,0.561,0.104,0.362,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.765e-4,5.15,20.831,80,0,21.914,30.847,1033.961,1085.665,0.01,0.008
0.06,0.164,10.803,383.304,10.969,389.217,0.029,0,0.029,0,1.905,67.587,42,-88,32.162,55.599,0,0,0,38.911,8.438,219.048,1.593,NaN,70.454,NaN,0.024,1.645e6,2264.373,0.11,0.556,0.196,0.357,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,80,0,21.908,30.847,1033.959,1085.665,0.01,0.009
0.07,0.291,14.541,373.903,14.765,379.671,0.051,0,0.051,0,2.564,65.929,42,-88,32.162,49.277,0,0,0,38.891,8.418,218.957,1.592,NaN,70.441,NaN,0.026,1.791e6,2211.927,0.193,0.55,0.289,0.351,0.071,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.15,20.831,80,0,21.903,30.846,1033.956,1085.664,0.01,0.011
