Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,40.75,0,0,70.99,88.07777,3.318013,0,0,0,0,0,0,80,80,0,0
0.010,S,0.010,0.010,0,0.7066857,0,5.569942,40.75,0,0,70.978,88.07777,3.320343,0,0,0,29.3400001525879,0,0,80,80,0,0
0.02,S,0.02,0.02562147,0,0.6457984,0,10.98076,40.74989,0.08583356,0,70.966,88.07777,3.322672,0,0,0,29.3400001525879,0,0,80,80,0,0
0.03,S,0.03,0.02562147,0,0.6457984,0,242.4437,40.74955,0.08583356,0,70.95401,88.07777,3.325001,159.767289953114,156.273669729801,33.2284078484604,29.7134077358418,1.562737,0.3322841,80,80,0.007813685,0.00166142
0.04,S,0.04,0.02594755,0,0.6450841,0,473.9066,40.74431,0.08793488,0,70.94202,88.07777,3.32733,342.514242926944,336.295640677516,64.971137200427,30.7194707495189,4.925694,0.9819955,80,80,0.04025584,0.008232818
0.05,S,0.05,0.02682611,0,0.6432151,0,501.1611,40.72948,0.09371804,0,70.93002,88.07777,3.329659,364.172749793741,357.627775466862,68.732568022434,32.1537170879549,8.501972,1.669321,80,80,0.1073942,0.0214894
0.05999999,S,0.05999999,0.02807859,0,0.6406814,0,506.1044,40.70929,0.1022688,0,70.91802,88.07777,3.331989,368.268647603426,361.661916915029,69.443895779275,33.9409580161287,12.11859,2.36376,80,80,0.210497,0.0416548
0.06999999,S,0.06999999,0.02963932,0,0.6377187,0,488.7364,40.6882,0.1134266,0,70.90603,88.07777,3.334318,354.73506467057,348.332346863039,67.0935334866271,35.9380087935719,15.60191,3.034695,80,80,0.3490995,0.06864708
0.07999999,S,0.07999999,0.03138329,0,0.6346349,0,482.6133,40.6676,0.1265516,0,70.89404,88.07777,3.336647,350.076704630315,343.74418119464,66.2845156853931,38.1310360561512,19.03935,3.69754,80,80,0.5223057,0.1023083
0.08999999,S,0.08999999,0.0332984,0,0.6314903,0,481.3095,40.64756,0.1417612,0,70.88203,88.07777,3.338976,349.221022832275,342.901391485821,66.1359093466476,40.5023828069265,22.46836,4.358899,80,80,0.7298443,0.1425905
0.09999999,S,0.09999999,0.03536922,0,0.6283392,0,480.0058,40.6276,0.1591426,0,70.87004,88.07777,3.341305,348.361988806725,342.055299535863,65.9867206702064,43.0204656815339,25.88891,5.018766,80,80,0.9716306,0.1894788
0.11,S,0.11,0.0375682,0,0.6252404,0,478.702,40.6077,0.1786592,0,70.85805,88.07777,3.343635,347.499825484222,341.206125002902,65.8369878720805,45.6590260887541,29.30097,5.677136,80,80,1.24758,0.2429583
0.12,S,0.12,0.0398724,0,0.6222317,0,477.3982,40.58785,0.2002766,0,70.84605,88.07777,3.345964,346.634684853902,340.354017376086,65.6867383854812,48.3964820338026,32.70451,6.334003,80,80,1.557607,0.303014
0.13,S,0.13,0.04226296,0,0.6193354,0,476.0944,40.56806,0.2239622,0,70.83405,88.07777,3.348293,345.766583172193,339.498992757094,65.5359745139374,51.2151983436845,36.0995,6.989363,80,80,1.901627,0.3696308
0.14,S,0.14,0.04472451,0,0.6165631,0,474.7906,40.54832,0.2496848,0,70.82206,88.07777,3.350623,344.895519976809,338.641050680702,65.3846961753576,54.1007848081167,39.48591,7.64321,80,80,2.279554,0.4427937
