#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 6,    -0.14, 3,   boost,   26.58,  97776.00,  299.71,   22.25,   35.53, 15.9, 4.17, 4.12, 4.14
6, 9920, 6,    -0.13, 3,   boost,   27.98,  97776.00,  299.71,   22.25,   36.05, 15.9, 4.15, 4.12, 4.14
6, 9920, 6,    -0.12, 3,   boost,   29.43,  97767.00,  300.48,   23.02,   36.58, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.11, 3,   boost,   30.94,  97759.00,  301.16,   23.71,   37.12, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.10, 3,   boost,   32.49,  97756.00,  301.42,   23.97,   37.66, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.09, 3,   boost,   34.09,  97750.00,  301.93,   24.48,   38.21, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.08, 3,   boost,   35.73,  97746.00,  302.28,   24.82,   38.77, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.07, 3,   boost,   37.41,  97739.00,  302.88,   25.42,   39.33, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.06, 3,   boost,   39.12,  97736.00,  303.13,   25.68,   39.90, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.05, 3,   boost,   40.87,  97727.00,  303.91,   26.45,   40.48, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.04, 3,   boost,   42.63,  97727.00,  303.91,   26.45,   41.06, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,    -0.03, 3,   boost,   44.42,  97718.00,  304.68,   27.22,   41.65, 15.9, 4.17, 4.12, 4.14
6, 9920, 6,    -0.02, 3,   boost,   46.21,  97708.00,  305.53,   28.08,   42.24, 15.9, 4.17, 4.12, 4.14
6, 9920, 6,    -0.01, 3,   boost,   48.01,  97699.00,  306.31,   28.85,   42.84, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
6, 9920, 6,     0.00, 3,   boost,   49.80,  97688.00,  307.25,   29.80,   43.45, 15.9, 4.17, 4.12, 4.12
