#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9676, 1,    -0.14, 3,   boost,   41.88,  98253.00,  258.92,   24.38,   57.60, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.13, 3,   boost,   44.08,  98246.00,  259.51,   24.98,   58.43, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.12, 3,   boost,   46.35,  98239.00,  260.11,   25.57,   59.28, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.11, 3,   boost,   48.70,  98229.00,  260.97,   26.43,   60.14, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.10, 3,   boost,   51.13,  98222.00,  261.56,   27.03,   61.00, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.09, 3,   boost,   53.62,  98217.00,  261.99,   27.45,   61.88, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.08, 3,   boost,   56.18,  98203.00,  263.19,   28.65,   62.76, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.07, 3,   boost,   58.80,  98198.00,  263.61,   29.07,   63.66, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.06, 3,   boost,   61.47,  98187.00,  264.55,   30.01,   64.57, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.05, 3,   boost,   64.18,  98175.00,  265.58,   31.04,   65.48, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.04, 3,   boost,   66.93,  98167.00,  266.26,   31.72,   66.40, 35.4, 4.08, 4.08, 4.09
6, 9676, 1,    -0.03, 3,   boost,   69.70,  98155.00,  267.28,   32.75,   67.34, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.02, 3,   boost,   72.48,  98147.00,  267.97,   33.43,   68.28, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,    -0.01, 3,   boost,   75.27,  98133.00,  269.16,   34.63,   69.23, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.00, 3,   boost,   78.04,  98123.00,  270.02,   35.48,   70.19, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.01, 3,   boost,   80.79,  98117.00,  270.53,   35.99,   71.16, 35.4, 4.09, 4.06, 4.08
6, 9676, 1,     0.02, 3,   boost,   83.50,  98104.00,  271.64,   37.10,   72.14, 35.4, 4.08, 4.06, 4.08
6, 9676, 1,     0.03, 3,   boost,   86.15,  98098.00,  272.15,   37.62,   73.13, 35.4, 4.08, 4.06, 4.08
