#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9676, 3,    -0.14, 3,   boost,  150.60,  97664.00,  309.31,   22.36,  227.80, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.13, 3,   boost,  158.33,  97629.00,  312.31,   25.36,  230.92, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.12, 3,   boost,  166.33,  97618.00,  313.25,   26.30,  234.07, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.11, 3,   boost,  174.58,  97590.00,  315.66,   28.71,  237.25, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,    -0.10, 3,   boost,  183.08,  97567.00,  317.63,   30.68,  240.46, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.09, 3,   boost,  191.79,  97542.00,  319.78,   32.83,  243.70, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.08, 3,   boost,  200.71,  97505.00,  322.95,   36.00,  246.97, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.07, 3,   boost,  209.81,  97471.00,  325.87,   38.92,  250.27, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.06, 3,   boost,  219.06,  97443.00,  328.28,   41.33,  253.60, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.05, 3,   boost,  228.43,  97409.00,  331.20,   44.25,  256.95, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.04, 3,   boost,  237.89,  97373.00,  334.29,   47.35,  260.33, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.03, 3,   boost,  247.40,  97329.00,  338.08,   51.13,  263.74, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.02, 3,   boost,  256.91,  97313.00,  339.45,   52.50,  267.18, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,    -0.01, 3,   boost,  266.38,  97281.00,  342.21,   55.26,  270.64, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.00, 3,   boost,  275.78,  97251.00,  344.79,   57.84,  274.13, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.01, 3,   boost,  285.04,  97222.00,  347.28,   60.33,  277.65, 19.1, 3.84, 3.82, 3.85
6, 9676, 3,     0.02, 3,   boost,  294.12,  97193.00,  349.78,   62.83,  281.19, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.03, 3,   boost,  302.97,  97167.00,  352.02,   65.07,  284.75, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.04, 3,   boost,  311.54,  97152.00,  353.31,   66.36,  288.35, 19.1, 3.84, 3.82, 3.82
6, 9676, 3,     0.05, 3,   boost,  319.80,  97124.00,  355.72,   68.77,  291.96, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.06, 3,   boost,  327.68,  97108.00,  357.10,   70.15,  295.60, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.07, 3,   boost,  335.15,  97094.00,  358.31,   71.36,  299.27, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.08, 3,   boost,  342.18,  97083.00,  359.25,   72.31,  302.95, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.09, 3,   boost,  348.73,  97062.00,  361.06,   74.12,  306.66, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.10, 3,   boost,  354.78,  97055.00,  361.67,   74.72,  310.39, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.11, 3,   boost,  360.31,  97041.00,  362.87,   75.93,  314.14, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.12, 3,   boost,  365.30,  97041.00,  362.87,   75.93,  317.91, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.13, 3,   boost,  369.76,  97017.00,  364.94,   78.00,  321.70, 19.1, 3.84, 3.82, 3.84
6, 9676, 3,     0.14, 3,   boost,  373.67,  96987.00,  367.53,   80.58,  325.52, 19.0, 3.84, 3.82, 3.84
6, 9676, 3,     0.15, 3,   boost,  377.06,  96954.00,  370.38,   83.43,  329.35, 19.0, 3.84, 3.82, 3.84
