Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-1.478978E-05,992.40,0,102.38, -,9.471023
0.05,5.553314,992.20,5.285714,102.38, -,9.471023
0.10,13.88416,991.90,13.2381,102.38, -,9.471023
0.15,22.21874,991.60,21.19048,102.38, -,9.471023
0.20,33.33187,991.20,31.76191,102.38, -,9.471023
0.25,44.45032,990.80,42.33333,102.38, -,9.471023
0.30,55.57071,990.40,52.90476,102.38, -,9.471023
0.35,63.91552,990.10,60.85714,102.38, -,9.471023
0.40,80.60787,989.50,76.7619,102.38, -,9.471023
0.45,94.52499,989.00,90,102.38, -,9.471023
0.50,108.4478,988.50,103.2381,102.38, -,9.471023
0.55,122.3763,988.00,116.5238,102.38, -,9.451575
0.60,144.6735,987.20,137.7619,102.38, -,9.451575
0.65,158.6169,986.70,151.0476,102.38, -,9.451575
0.70,175.3575,986.10,167,102.38, -,9.451575
0.75,192.1047,985.50,182.9524,102.38, -,9.451575
0.80,217.2426,984.60,206.9048,102.38, -,9.451575
0.85,234.0105,984.00,222.8571,102.38, -,9.451575
0.90,253.5846,983.30,241.4762,102.38, -,9.451575
0.95,273.1699,982.60,260.1429,102.38, -,9.451575
1.00,301.1682,981.60,286.8095,102.38, -,9.451575
1.05,320.7793,980.90,305.4762,102.38, -,9.451575
1.10,346.0127,980.00,324.2381,102.38, -,9.451575
1.15,368.4572,979.20,337.6667,102.38, -,9.451575
1.20,393.7261,978.30,353.7619,102.38, -,9.451575
1.25,419.0121,977.40,367.2857,102.38, -,9.451575
1.30,444.3187,976.50,380.8095,102.38, -,9.451575
1.35,469.6442,975.60,394.381,102.38, -,9.451575
1.40,497.805,974.60,413.2381,102.38, -,9.451575
1.45,523.1688,973.70,421.4762,102.38, -,9.451575
1.50,548.5532,972.80,432.4286,102.38, -,9.451575
1.55,576.7797,971.80,446.0952,102.38, -,9.451575
1.60,605.0297,970.80,459.7143,102.38, -,9.451575
1.65,633.3033,969.80,465.381,102.38, -,9.451575
1.70,661.6005,968.80,479.0476,102.38, -,9.451575
1.75,687.0872,967.90,487.381,102.38, -,9.451575
1.80,718.266,966.80,501.1429,102.38, -,9.451575
1.85,746.6343,965.80,504.1905,102.38, -,9.451575
1.90,775.0265,964.80,515.2857,102.38, -,9.451575
1.95,800.5987,963.90,521,102.38, -,9.451575
2.00,829.0362,962.90,529.4286,102.38, -,9.451575
2.05,851.8047,962.10,524.4286,102.38, -,9.451575
2.10,880.2853,961.10,532.9048,102.38, -,9.451575
2.15,903.0867,960.30,530.5714,102.38, -,9.451575
2.20,928.7559,959.40,533.619,102.38, -,9.451575
2.25,951.5918,958.60,531.3333,102.38, -,9.451575
2.30,980.1566,957.60,534.4286,102.38, -,9.451575
2.35,1003.025,956.80,532.0952,102.38, -,9.451575
2.40,1025.91,956.00,529.7619,102.38, -,9.451575
