#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 11,    -0.14, 3,   boost,   25.37,  98328.00,  252.52,   20.62,   35.11,  3.7, 3.93, 3.88, 3.90
6, 9920, 11,    -0.13, 3,   boost,   26.70,  98320.00,  253.20,   21.30,   35.61,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.12, 3,   boost,   28.08,  98308.00,  254.22,   22.33,   36.12,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.11, 3,   boost,   29.51,  98304.00,  254.57,   22.67,   36.64,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.10, 3,   boost,   30.98,  98294.00,  255.42,   23.52,   37.16,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.09, 3,   boost,   32.50,  98285.00,  256.19,   24.29,   37.69,  3.7, 3.93, 3.88, 3.90
6, 9920, 11,    -0.08, 3,   boost,   34.05,  98279.00,  256.70,   24.80,   38.23,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.07, 3,   boost,   35.64,  98272.00,  257.30,   25.40,   38.77,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.06, 3,   boost,   37.26,  98259.00,  258.41,   26.51,   39.32,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.05, 3,   boost,   38.91,  98251.00,  259.09,   27.19,   39.87,  3.7, 3.93, 3.88, 3.90
6, 9920, 11,    -0.04, 3,   boost,   40.58,  98235.00,  260.45,   28.55,   40.43,  3.7, 3.93, 3.88, 3.90
6, 9920, 11,    -0.03, 3,   boost,   42.26,  98238.00,  260.20,   28.30,   40.99,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.02, 3,   boost,   43.95,  98217.00,  261.99,   30.09,   41.56,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,    -0.01, 3,   boost,   45.64,  98208.00,  262.76,   30.86,   42.14,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.00, 3,   boost,   47.33,  98203.00,  263.19,   31.29,   42.72,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.01, 3,   boost,   49.00,  98196.00,  263.78,   31.88,   43.31,  3.7, 3.91, 3.90, 3.90
6, 9920, 11,     0.02, 3,   boost,   50.64,  98187.00,  264.55,   32.65,   43.90,  3.7, 3.93, 3.88, 3.90
6, 9920, 11,     0.03, 3,   boost,   52.26,  98179.00,  265.23,   33.34,   44.50,  3.7, 3.93, 3.90, 3.91
6, 9920, 11,     0.04, 3,   boost,   53.84,  98167.00,  266.26,   34.36,   45.11,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.05, 3,   boost,   55.37,  98157.00,  267.11,   35.21,   45.72,  3.7, 3.91, 3.90, 3.90
6, 9920, 11,     0.06, 3,   boost,   56.85,  98145.00,  268.14,   36.24,   46.34,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.07, 3,   boost,   58.26,  98132.00,  269.25,   37.35,   46.96,  3.7, 3.93, 3.88, 3.90
6, 9920, 11,     0.08, 3,   boost,   59.61,  98129.00,  269.51,   37.61,   47.59,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.09, 3,   boost,   60.88,  98116.00,  270.62,   38.72,   48.22,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.10, 3,   boost,   62.08,  98113.00,  270.87,   38.97,   48.86,  3.7, 3.93, 3.90, 3.90
6, 9920, 11,     0.11, 3,   boost,   63.20,  98106.00,  271.47,   39.57,   49.50,  3.7, 3.93, 3.88, 3.91
6, 9920, 11,     0.12, 3,   boost,   64.23,  98106.00,  271.47,   39.57,   50.15,  3.7, 3.93, 3.90, 3.91
6, 9920, 11,     0.13, 3,   boost,   65.18,  98098.00,  272.15,   40.26,   50.81,  3.7, 3.91, 3.90, 3.90
6, 9920, 11,     0.14, 3,   boost,   66.04,  98088.00,  273.01,   41.11,   51.47,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.15, 3,   boost,   66.82,  98091.00,  272.75,   40.85,   52.14,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.16, 3,   boost,   67.52,  98086.00,  273.18,   41.28,   52.81,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.17, 3,   boost,   68.15,  98077.00,  273.95,   42.05,   53.49,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.18, 3,   boost,   68.70,  98072.00,  274.38,   42.48,   54.17,  3.6, 3.91, 3.88, 3.90
6, 9920, 11,     0.19, 3,   boost,   69.18,  98066.00,  274.89,   42.99,   54.86,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.20, 3,   boost,   69.60,  98060.00,  275.40,   43.50,   55.55,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.21, 3,   boost,   69.97,  98050.00,  276.26,   44.36,   56.25,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.22, 3,   boost,   70.29,  98053.00,  276.00,   44.10,   56.95,  3.6, 3.91, 3.90, 3.90
6, 9920, 11,     0.23, 3,   boost,   70.57,  98053.00,  276.00,   44.10,   57.66,  3.6, 3.91, 3.90, 3.90
6, 9920, 11,     0.24, 3,   boost,   70.81,  98047.00,  276.51,   44.61,   58.37,  3.6, 3.91, 3.90, 3.90
6, 9920, 11,     0.25, 3,   boost,   71.03,  98039.00,  277.20,   45.30,   59.08,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.26, 3,   boost,   71.23,  98028.00,  278.14,   46.24,   59.80,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.27, 3,   boost,   71.41,  98027.00,  278.22,   46.32,   60.53,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.28, 3,   boost,   71.59,  98016.00,  279.16,   47.26,   61.25,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.29, 3,   boost,   71.76,  98016.00,  279.16,   47.26,   61.98,  3.6, 3.91, 3.90, 3.91
6, 9920, 11,     0.30, 3,   boost,   71.93,  98013.00,  279.42,   47.52,   62.72,  3.6, 3.94, 3.88, 3.90
6, 9920, 11,     0.31, 3,   boost,   72.10,  98002.00,  280.36,   48.46,   63.46,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.32, 3,   boost,   72.29,  97995.00,  280.96,   49.06,   64.20,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.33, 3,   boost,   72.48,  97993.00,  281.13,   49.23,   64.94,  3.6, 3.91, 3.88, 3.91
6, 9920, 11,     0.34, 3,   boost,   72.68,  97993.00,  281.13,   49.23,   65.69,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.35, 3,   boost,   72.89,  97979.00,  282.33,   50.43,   66.44,  3.6, 3.91, 3.90, 3.90
6, 9920, 11,     0.36, 3,   boost,   73.11,  97966.00,  283.44,   51.54,   67.19,  3.6, 3.91, 3.90, 3.91
6, 9920, 11,     0.37, 3,   boost,   73.31,  97955.00,  284.38,   52.48,   67.95,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.38, 3,   boost,   73.50,  97949.00,  284.89,   53.00,   68.71,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.39, 3,   boost,   73.68,  97939.00,  285.75,   53.85,   69.47,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.40, 3,   boost,   73.84,  97927.00,  286.78,   54.88,   70.23,  3.6, 3.93, 3.88, 3.90
6, 9920, 11,     0.41, 3,   boost,   73.98,  97921.00,  287.29,   55.39,   70.99,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.42, 3,   boost,   74.11,  97914.00,  287.89,   55.99,   71.76,  3.6, 3.93, 3.90, 3.90
6, 9920, 11,     0.43, 3,   boost,   74.22,  97904.00,  288.75,   56.85,   72.53,  3.6, 3.93, 3.88, 3.91
6, 9920, 11,     0.44, 3,   boost,   74.32,  97896.00,  289.43,   57.53,   73.30,  3.6, 3.91, 3.88, 3.91
