#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 9,    -0.14, 3,   boost,   37.43,  98586.00,  230.54,   25.76,   51.16, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.13, 3,   boost,   39.39,  98581.00,  230.96,   26.18,   51.91, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.12, 3,   boost,   41.42,  98577.00,  231.30,   26.52,   52.67, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.11, 3,   boost,   43.52,  98563.00,  232.49,   27.71,   53.43, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.10, 3,   boost,   45.69,  98554.00,  233.26,   28.48,   54.21, 14.9, 3.97, 3.94, 3.94
6, 9920, 9,    -0.09, 3,   boost,   47.91,  98556.00,  233.09,   28.31,   54.99, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.08, 3,   boost,   50.20,  98547.00,  233.86,   29.08,   55.78, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.07, 3,   boost,   52.53,  98533.00,  235.05,   30.27,   56.58, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,    -0.06, 3,   boost,   54.91,  98534.00,  234.96,   30.18,   57.39, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,    -0.05, 3,   boost,   57.33,  98520.00,  236.16,   31.38,   58.21, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.04, 3,   boost,   59.78,  98508.00,  237.18,   32.40,   59.03, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,    -0.03, 3,   boost,   62.25,  98500.00,  237.86,   33.08,   59.87, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,    -0.02, 3,   boost,   64.73,  98498.00,  238.03,   33.25,   60.71, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,    -0.01, 3,   boost,   67.20,  98491.00,  238.63,   33.84,   61.56, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.00, 3,   boost,   69.67,  98476.00,  239.90,   35.12,   62.42, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.01, 3,   boost,   72.12,  98473.00,  240.16,   35.38,   63.29, 14.9, 3.96, 3.94, 3.94
6, 9920, 9,     0.02, 3,   boost,   74.53,  98463.00,  241.01,   36.23,   64.17, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.03, 3,   boost,   76.89,  98446.00,  242.46,   37.68,   65.05, 14.9, 3.97, 3.93, 3.96
6, 9920, 9,     0.04, 3,   boost,   79.19,  98439.00,  243.06,   38.28,   65.95, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,     0.05, 3,   boost,   81.43,  98433.00,  243.57,   38.79,   66.85, 14.9, 3.96, 3.93, 3.93
6, 9920, 9,     0.06, 3,   boost,   83.58,  98419.00,  244.76,   39.98,   67.76, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,     0.07, 3,   boost,   85.64,  98415.00,  245.10,   40.32,   68.68, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,     0.08, 3,   boost,   87.60,  98400.00,  246.38,   41.60,   69.61, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,     0.09, 3,   boost,   89.44,  98384.00,  247.74,   42.96,   70.54, 14.9, 3.97, 3.93, 3.93
6, 9920, 9,     0.10, 3,   boost,   91.18,  98382.00,  247.91,   43.13,   71.48, 14.9, 3.97, 3.93, 3.94
6, 9920, 9,     0.11, 3,   boost,   92.79,  98375.00,  248.51,   43.73,   72.43, 14.9, 3.96, 3.93, 3.96
6, 9920, 9,     0.12, 3,   boost,   94.28,  98375.00,  248.51,   43.73,   73.39, 14.9, 3.97, 3.93, 3.96
6, 9920, 9,     0.13, 3,   boost,   95.64,  98356.00,  250.13,   45.35,   74.36, 14.9, 3.96, 3.94, 3.94
6, 9920, 9,     0.14, 3,   boost,   96.88,  98338.00,  251.67,   46.89,   75.33, 14.9, 3.97, 3.93, 3.93
