#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11115, 1,N0CALL,    -0.30, 3,   boost,   -0.49,  98997.00,  195.62,    0.25,    0.00, 17.9, 3.95, 3.95, 3.96,  -9.82,  -0.64,  -0.06,  -0.08,   0.08,  -0.21,  -0.94,  -0.20,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.29, 3,   boost,   -0.00,  98997.00,  195.62,    0.25,    0.00, 17.9, 3.95, 3.95, 3.96,  -9.79,  -0.61,  -0.09,  -0.14,   0.02,   0.16,  -0.94,  -0.19,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.28, 3,   boost,   -0.49,  99000.00,  195.36,    0.00,    0.00, 18.0, 3.95, 3.95, 3.96,  -9.83,  -0.65,  -0.06,  -0.08,  -0.10,   0.10,  -0.94,  -0.20,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.27, 3,   boost,   -0.00,  99000.00,  195.36,    0.00,    0.00, 18.0, 3.95, 3.95, 3.96,  -9.80,  -0.65,  -0.11,   0.04,   0.21,   0.10,  -0.94,  -0.19,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.26, 3,   boost,   -0.00,  99000.00,  195.36,    0.00,    0.00, 17.9, 3.95, 3.95, 3.96,  -9.82,  -0.62,  -0.11,   0.10,   0.14,  -0.03,  -0.94,  -0.20,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.25, 3,   boost,    1.96,  99000.00,  195.36,    0.00,    0.00, 17.9, 3.95, 3.95, 3.96,  -9.79,  -0.63,  -0.08,   0.04,  -0.16,  -0.09,  -0.94,  -0.19,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.24, 3,   boost,   -1.47,  99004.00,  195.02,   -0.34,    0.00, 18.0, 3.95, 3.95, 3.96,  -9.84,  -0.60,  -0.09,   0.10,  -0.10,  -0.03,  -0.94,  -0.19,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.23, 3,   boost,   -0.00,  99004.00,  195.02,   -0.34,    0.00, 18.0, 3.95, 3.95, 3.96,  -9.81,  -0.58,  -0.14,  -0.14,  -0.04,  -0.15,  -0.94,  -0.19,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.22, 3,   boost,   -2.45,  99003.00,  195.11,   -0.25,    0.00, 17.9, 3.95, 3.95, 3.96,  -9.79,  -0.63,  -0.06,  -0.14,  -0.28,  -0.09,  -0.94,  -0.20,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776126, -86.5768673,   200.0, 2024, 12,  8, 15, 29, 28,        0,        0,  62,   0,   1.4,   0.8,   1.2,  0, 27, 27, 32,  0,  0,  0,  0,  0, 39,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 13,  0,  0,  0, 25, 33,  0, 37, 37,  0, 34, 38
6, 11115, 1,N0CALL,    -0.21, 3,   boost,    1.47,  99003.00,  195.11,   -0.25,    0.00, 17.9, 3.95, 3.95, 3.96,  -9.85,  -0.62,  -0.09,   0.16,   0.14,   0.10,  -0.94,  -0.19,  -0.27,   3.64, 3.97, 0.00, 0.00, 0.00, 0.00, 1, 1, 12,  41.7776124, -86.5768678,   200.0, 2024, 12,  8, 15, 29, 29,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0, 27, 28, 32,  0,  0,  0,  0,  0, 41,  0,  0,  0,  0,  0, 33,  0,  0,  0,  0, 16,  0,  0,  0, 26, 33,  0, 37, 37,  0, 34, 38
