#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11115, 3,N0CALL,    -0.30, 3,   boost,   -0.98,  99225.00,  176.29,   -0.59,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.83,  -0.34,   0.09,  -0.06,  -0.09,   0.18,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.29, 3,   boost,   -0.49,  99225.00,  176.29,   -0.59,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.94,  -0.34,   0.16,  -0.06,  -0.40,   0.12,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.28, 3,   boost,   -0.00,  99227.00,  176.12,   -0.76,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.79,  -0.38,   0.06,  -0.00,  -0.22,  -0.00,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.27, 3,   boost,   -0.00,  99227.00,  176.12,   -0.76,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.89,  -0.27,   0.03,  -0.12,  -0.03,  -0.19,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.26, 3,   boost,   -0.49,  99226.00,  176.21,   -0.68,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.76,  -0.29,   0.02,   0.30,  -0.09,  -0.00,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.25, 3,   boost,   -0.49,  99226.00,  176.21,   -0.68,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.94,  -0.72,  -0.01,   0.18,   0.03,   0.24,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.24, 3,   boost,   -0.00,  99227.00,  176.12,   -0.76,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.77,  -0.40,   0.01,  -0.37,  -0.09,  -0.19,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.23, 3,   boost,   -0.98,  99227.00,  176.12,   -0.76,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.84,  -0.33,  -0.06,  -0.25,   0.03,  -0.07,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.22, 3,   boost,   -0.98,  99212.00,  177.39,    0.51,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.84,  -0.55,  -0.01,   0.12,  -0.09,   0.06,  -0.65,   0.41,   0.29,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
6, 11115, 3,N0CALL,    -0.21, 3,   boost,   -0.98,  99212.00,  177.39,    0.51,    0.00, 20.9, 3.84, 3.84, 3.84,  -9.82,  -0.23,   0.17,   0.12,   0.15,  -0.13,  -0.65,   0.41,   0.28,   2.29, 3.85, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  42.6264522, -88.1615675,   243.0, 2025,  4,  5, 16, 53, 47,        0,        0,   0,   0,   1.4,   0.8,   1.1, 30, 26, 35,  0,  0, 35,  0,  0,  0,  0,  0,  0, 31,  0,  0,  0, 32,  0, 26,  0,  0, 28,  0, 31,  0,  0,  0,  0,  0, 27,  0,  0
