#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 13,    -0.14, 3,   boost,   38.36,  99674.00,  138.35,   24.77,   52.25, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.13, 3,   boost,   40.36,  99672.00,  138.52,   24.94,   53.02, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.12, 3,   boost,   42.44,  99657.00,  139.78,   26.21,   53.80, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.11, 3,   boost,   44.58,  99648.00,  140.54,   26.96,   54.58, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.10, 3,   boost,   46.79,  99640.00,  141.22,   27.64,   55.38, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.09, 3,   boost,   49.07,  99633.00,  141.81,   28.23,   56.18, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.08, 3,   boost,   51.40,  99624.00,  142.57,   28.99,   57.00, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.07, 3,   boost,   53.78,  99613.00,  143.50,   29.92,   57.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.06, 3,   boost,   56.21,  99606.00,  144.09,   30.51,   58.65, 24.9, 4.03, 4.00, 4.00
6, 9920, 13,    -0.05, 3,   boost,   58.68,  99600.00,  144.59,   31.02,   59.49, 24.9, 4.03, 4.02, 4.02
6, 9920, 13,    -0.04, 3,   boost,   61.17,  99584.00,  145.94,   32.37,   60.34, 24.9, 4.05, 4.00, 4.02
6, 9920, 13,    -0.03, 3,   boost,   63.69,  99579.00,  146.37,   32.79,   61.20, 24.9, 4.05, 4.00, 4.02
6, 9920, 13,    -0.02, 3,   boost,   66.21,  99569.00,  147.21,   33.63,   62.06, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,    -0.01, 3,   boost,   68.73,  99559.00,  148.05,   34.48,   62.93, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.00, 3,   boost,   71.24,  99552.00,  148.65,   35.07,   63.82, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.01, 3,   boost,   73.73,  99540.00,  149.66,   36.08,   64.71, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.02, 3,   boost,   76.17,  99535.00,  150.08,   36.50,   65.61, 24.9, 4.05, 4.00, 4.02
6, 9920, 13,     0.03, 3,   boost,   78.57,  99527.00,  150.76,   37.18,   66.52, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.04, 3,   boost,   80.91,  99517.00,  151.60,   38.02,   67.43, 24.9, 4.05, 4.00, 4.02
6, 9920, 13,     0.05, 3,   boost,   83.17,  99509.00,  152.28,   38.70,   68.36, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.06, 3,   boost,   85.35,  99507.00,  152.45,   38.87,   69.29, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.07, 3,   boost,   87.43,  99488.00,  154.05,   40.47,   70.23, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.08, 3,   boost,   89.40,  99486.00,  154.22,   40.64,   71.18, 24.9, 4.03, 4.02, 4.03
6, 9920, 13,     0.09, 3,   boost,   91.27,  99469.00,  155.66,   42.08,   72.14, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.10, 3,   boost,   93.01,  99468.00,  155.74,   42.16,   73.10, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.11, 3,   boost,   94.63,  99455.00,  156.84,   43.26,   74.07, 24.9, 4.03, 4.00, 4.02
6, 9920, 13,     0.12, 3,   boost,   96.11,  99455.00,  156.84,   43.26,   75.05, 24.9, 4.03, 4.00, 4.02
