#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11115, 4,N0CALL,    -0.30, 3,   boost,    1.96, 100011.00,  109.96,   -0.34,    0.00, 27.1, 3.85, 3.85, 3.85,  -9.82,  -0.28,  -0.04,   0.11,   0.04,   0.07,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.29, 3,   boost,   -0.49, 100007.00,  110.30,    0.00,    0.00, 27.1, 3.85, 3.85, 3.85,  -9.84,  -0.20,   0.01,   0.17,  -0.02,   0.25,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.28, 3,   boost,    0.49, 100007.00,  110.30,    0.00,    0.01, 27.1, 3.85, 3.85, 3.85,  -9.86,  -0.25,  -0.04,  -0.26,  -0.20,   0.13,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.27, 3,   boost,   -0.00, 100006.00,  110.38,    0.08,    0.01, 27.1, 3.85, 3.85, 3.85,  -9.85,  -0.29,  -0.01,  -0.26,  -0.02,  -0.12,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.26, 3,   boost,    0.49, 100006.00,  110.38,    0.08,    0.01, 27.1, 3.85, 3.85, 3.85,  -9.81,  -0.22,   0.00,  -0.44,   0.10,   0.13,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.25, 3,   boost,   -1.96, 100014.00,  109.71,   -0.59,    0.01, 27.1, 3.85, 3.85, 3.85,  -9.84,  -0.24,  -0.02,  -0.20,  -0.20,  -0.12,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.24, 3,   boost,   -0.00, 100014.00,  109.71,   -0.59,    0.00, 27.1, 3.85, 3.85, 3.85,  -9.84,  -0.19,   0.07,   0.11,   0.04,  -0.24,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.23, 3,   boost,   -0.98, 100009.00,  110.13,   -0.17,    0.00, 27.1, 3.85, 3.85, 3.85,  -9.89,  -0.16,  -0.01,   0.05,  -0.26,   0.13,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870400, -87.5135179,   206.0, 2025,  4, 12, 16, 21, 31,        0,        0,  19,   0,   1.2,   0.8,   0.9, 33, 31, 19,  0,  0, 28,  0,  0,  0,  0,  0,  0, 26, 32,  0,  0, 26,  0, 33,  0,  0, 26,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.22, 3,   boost,   -1.47, 100009.00,  110.13,   -0.17,    0.00, 27.1, 3.85, 3.85, 3.85,  -9.80,  -0.42,  -0.09,  -0.01,  -0.14,   0.13,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870391, -87.5135183,   206.0, 2025,  4, 12, 16, 21, 32,        0,        0,   0,   0,   1.2,   0.8,   0.9, 33, 31, 20,  0,  0, 29,  0,  0,  0,  0,  0,  0, 25, 32,  0,  0, 26,  0, 33,  0,  0, 25,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
6, 11115, 4,N0CALL,    -0.21, 3,   boost,   -0.49, 100006.00,  110.38,    0.08,    0.00, 27.1, 3.85, 3.85, 3.85,  -9.83,  -0.07,  -0.01,  -0.08,   0.16,   0.19,  -0.62,   0.39,   0.29,   1.34, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  40.3870391, -87.5135183,   206.0, 2025,  4, 12, 16, 21, 32,        0,        0,   0,   0,   1.2,   0.8,   0.9, 33, 31, 20,  0,  0, 29,  0,  0,  0,  0,  0,  0, 25, 32,  0,  0, 26,  0, 33,  0,  0, 25,  0, 28,  0,  0,  0,  0,  0, 29,  0,  0
