# Base - Ideal Conditions  (Up to date)
# 789 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (115 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.3,-29.966,0.301,30.081,-1.311e-4,0,1.311e-4,180,0.026,2.622,42,-88,32.162,101.719,0,0,0,44.447,8.5,242.131,1.709,NaN,71.114,NaN,9.1e-4,5.198e4,12.034,-1.345e-5,0.939,-0.018,0.8,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.27e-5,5.15,20.831,85,0,1.024,84.234,968.682,1144.634,0.01,0.004
0.02,-0.001,-0.261,-26.064,0.262,26.164,-1.14e-4,0,1.14e-4,180,0.023,2.28,42,-88,32.162,98.457,0,0,0,44.447,8.5,242.13,1.709,NaN,71.114,NaN,9.785e-4,5.589e4,36.103,-5.96e-6,0.923,-0.007,0.784,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.844e-5,5.15,20.831,85,0,1.112,84.234,968.682,1144.634,0.01,0.006
0.03,0.003,0.594,59.364,0.596,59.591,2.596e-4,0,2.596e-4,0,0.052,5.194,42,-88,32.162,59.641,0,0,0,44.437,8.489,242.078,1.709,NaN,71.108,NaN,0.001,6.915e4,562.936,3.028e-4,0.879,0.226,0.739,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.477e-5,5.15,20.831,85,0,1.2,84.234,968.682,1144.634,0.01,0.007
0.04,0.02,2.857,226.372,2.868,227.237,0.002,0,0.002,0,0.25,19.805,42,-88,32.162,23.304,0,0,0,44.427,8.479,242.027,1.709,NaN,71.102,NaN,0.003,1.619e5,1592.534,0.007,0.734,0.917,0.595,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.118e-4,5.15,20.831,85,0,1.289,84.234,968.682,1144.634,0.01,0.007
0.05,0.065,6.055,319.858,6.078,321.079,0.006,0,0.006,0,0.53,27.984,42,-88,32.162,12.479,0,0,0,44.406,8.459,241.923,1.709,NaN,71.09,NaN,0.006,3.168e5,2167.95,0.023,0.648,0.809,0.509,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.608e-4,5.15,20.831,85,0,1.377,84.234,968.681,1144.634,0.01,0.008
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.142,9.411,335.671,9.447,336.953,0.012,0,0.012,0,0.823,29.367,42,-88,32.162,6.16,0,0,0,44.386,8.438,241.817,1.709,NaN,71.078,NaN,0.008,4.787e5,2264.373,0.042,0.604,0.659,0.465,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,85,0,1.033,84.234,968.68,1144.634,0.01,0.009
0.07,0.253,12.683,327.32,12.731,328.57,0.022,0,0.022,0,1.11,28.637,42,-88,32.162,3.073,0,0,0,44.365,8.418,241.712,1.709,NaN,71.066,NaN,0.011,6.392e5,2211.927,0.068,0.577,0.592,0.437,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,85,0,0.689,84.234,968.678,1144.633,0.01,0.011
