Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,44.45,0,0,70.99,88.07777,3.318013,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.6930873,0,5.381022,44.45,0,0,70.9791,88.07777,3.320129,0,0,0,0,0,0,85,85,0,0
0.02,S,0.02,0.010,0,0.6930873,0,10.79184,44.44989,0,0,70.9682,88.07777,3.322245,0,0,0,0,0,0,85,85,0,0
0.03,S,0.03,0.010,0,0.6930873,0,242.2547,44.44955,0,0,70.95731,88.07777,3.324362,143.327547231149,142.510415730655,15.2829055998272,1.4332753201374,1.425104,0.1528291,85,85,0.00712552,0.0007641455
0.04,S,0.04,0.010,0,0.6930874,0,473.7177,44.44431,0.0002608833,0,70.9464,88.07777,3.326478,310.893247783102,309.45320915593,29.8885071594628,4.54215315461846,4.519636,0.4517142,85,85,0.03684922,0.003786862
0.05,S,0.05,0.010,0,0.6930875,0,500.9722,44.42948,0.002620054,0,70.93551,88.07777,3.328594,330.741858089819,329.227045597325,31.6184936384245,7.84955796089096,7.811907,0.7678992,85,85,0.09850693,0.009884929
0.05999999,S,0.05999999,0.010,0,0.6930877,0,505.9155,44.40929,0.007824862,0,70.92461,88.07777,3.33071,334.484193137059,332.955272439962,31.9446711202401,11.1943937827579,11.14146,1.087346,85,85,0.1932738,0.01916116
0.06999999,S,0.06999999,0.01029842,0,0.691043,0,488.5475,44.38821,0.01586731,0,70.91371,88.07777,3.332826,322.06404645026,320.581936565845,30.8621445075959,14.4150326840472,14.34728,1.395967,85,85,0.3207175,0.03157772
0.07999999,S,0.07999999,0.01326129,0,0.6741449,0,482.4244,44.36761,0.0256673,0,70.90282,88.07777,3.334942,317.781274136967,316.315297582169,30.4888620256351,17.5928414367005,17.51043,1.700856,85,85,0.480006,0.04706183
0.08999999,S,0.08999999,0.01618477,0,0.6616527,0,481.1206,44.34756,0.03752289,0,70.89191,88.07777,3.337058,316.984881627019,315.521904632407,30.4194489962182,20.7626904615016,20.66565,2.00505,85,85,0.6708864,0.06559137
0.09999999,S,0.09999999,0.01910093,0,0.6517797,0,479.8168,44.32761,0.05148258,0,70.88102,88.07777,3.339174,316.185629035011,314.725662195499,30.3497868834357,23.9245496596,23.81291,2.308548,85,85,0.8932792,0.08715936
0.11,S,0.11,0.02200975,0,0.6436837,0,478.5131,44.3077,0.06750718,0,70.87012,88.07777,3.34129,315.383706272615,313.926759487419,30.2798920073888,27.0783887943551,26.95218,2.611347,85,85,1.147105,0.1117588
0.12,S,0.12,0.02491119,0,0.6368645,0,477.2093,44.28786,0.08556183,0,70.85922,88.07777,3.343406,314.579146009487,313.125229051858,30.209767216573,30.2241777772187,30.08343,2.913445,85,85,1.432283,0.1393828
0.13,S,0.13,0.02780524,0,0.6310026,0,475.9055,44.26806,0.1056148,0,70.84833,88.07777,3.345522,313.772015086666,312.321137475328,30.1394183365283,33.361896375467,33.20664,3.214839,85,85,1.748733,0.1700242
0.14,S,0.14,0.03069187,0,0.6258823,0,474.6017,44.24832,0.1276367,0,70.83743,88.07777,3.347638,312.962312096766,311.514483352904,30.0688452443148,36.4915145277116,36.32178,3.515527,85,85,2.096375,0.203676
0.15,S,0.15,0.03357106,0,0.6213514,0,473.2979,44.22863,0.1515999,0,70.82653,88.07777,3.349754,312.150056696727,310.705286264636,29.9980496529402,39.6130121089125,39.42883,3.815507,85,85,2.475128,0.2403312
0.16,S,0.16,0.03644279,0,0.6172994,0,472.6953,44.209,0.1774783,0,70.81564,88.07777,3.35187,311.845494417648,310.401870685686,29.9715041900489,42.7314682762529,42.53285,4.115222,85,85,2.884937,0.2799849
0.17,S,0.17,0.03931173,0,0.6136374,0,473.1444,44.18941,0.2052944,0,70.80473,88.07777,3.353987,312.304609796789,310.859257462679,30.0115202893279,45.8545117393498,45.64144,4.415337,85,85,3.325808,0.3226376
0.18,S,0.18,0.04218491,0,0.6102954,0,473.5934,44.16982,0.2351091,0,70.79384,88.07777,3.356102,312.762714230995,311.315637046744,30.0514482732392,48.9821424521868,48.7546,4.715852,85,85,3.797788,0.3682936
0.19,S,0.19,0.04506233,0,0.6072262,0,474.0425,44.15022,0.2669233,0,70.78294,88.07777,3.358219,313.219937552707,311.77113875839,30.0912997030431,52.1143404158752,51.87231,5.016765,85,85,4.300923,0.4169567
0.2,S,0.2,0.04794396,0,0.6043923,0,474.4916,44.13059,0.3007383,0,70.77204,88.07777,3.360335,313.676209297379,312.225692445622,30.1310679536063,55.2511055387042,54.99457,5.318076,85,85,4.835258,0.4686309
0.21,S,0.21,0.05082981,0,0.6017631,0,474.9407,44.11094,0.336556,0,70.76115,88.07777,3.362451,314.131576809877,312.679345252189,30.1707573939066,58.3924178219116,58.12136,5.619784,85,85,5.400837,0.5233201
0.22,S,0.22,0.05371986,0,0.5993136,0,475.3898,44.09128,0.3743787,0,70.75024,88.07777,3.364567,314.586060089741,313.132117102859,30.2103697671438,61.5382771280336,61.25268,5.921887,85,85,5.997707,0.5810285
0.23,S,0.23,0.05661411,0,0.5970227,0,475.8389,44.07159,0.4142089,0,70.73935,88.07777,3.366683,315.039634457793,313.583983411921,30.2499029223559,64.6886735955105,64.38852,6.224386,85,85,6.625913,0.6417598
0.24,S,0.24,0.05951255,0,0.5948729,0,476.288,44.05189,0.4560498,0,70.72845,88.07777,3.368799,315.492319201022,314.034963394263,30.2893585406364,67.8435970874702,67.52887,6.52728,85,85,7.2855,0.7055181
0.25,S,0.25,0.06241518,0,0.5928493,0,476.7371,44.03217,0.4999045,0,70.71755,88.07777,3.370915,315.944014385672,314.484957493136,30.3287279105816,71.0030375588448,70.67372,6.830567,85,85,7.976513,0.7723073
0.26,S,0.26,0.06532199,0,0.5909393,0,477.1862,44.01244,0.545776,0,70.70666,88.07777,3.373031,316.394813950723,314.934059294153,30.3680192212051,74.1669850104502,73.82306,7.134247,85,85,8.698997,0.8421314
0.27,S,0.27,0.06823297,0,0.5891319,0,477.6353,43.99268,0.5936687,0,70.69576,88.07777,3.375147,316.844714417447,315.382265332203,30.407232169358,77.3354294430973,76.97688,7.438319,85,85,9.452996,0.9149942
0.28,S,0.28,0.0711481,0,0.5874177,0,478.0844,43.9729,0.6435863,0,70.68486,88.07777,3.377263,317.293667521748,315.829527525484,30.4463625484366,80.5083707653772,80.13518,7.742783,85,85,10.23856,0.9908997
0.29,S,0.29,0.0740674,0,0.5857882,0,478.5335,43.95311,0.6955326,0,70.67397,88.07777,3.379379,317.741714636204,316.275887091268,30.4854139644939,83.6857889327601,83.29794,8.047637,85,85,11.05572,1.069852
0.3,S,0.3,0.07699085,0,0.5842365,0,478.9826,43.9333,0.7495118,0,70.66306,88.07777,3.381495,318.188807205078,316.721295657212,30.5243821855074,86.8676838080302,86.46516,8.35288,85,85,11.90454,1.151854
0.31,S,0.31,0.07991844,0,0.582756,0,479.4317,43.91346,0.8055287,0,70.65217,88.07777,3.383611,318.634985806752,317.16579364937,30.5632707483073,90.0540356217659,89.63682,8.658512,85,85,12.78505,1.236911
0.32,S,0.32,0.08285015,0,0.5813411,0,479.8809,43.89361,0.8635871,0,70.64127,88.07777,3.385728,319.089630757752,317.29265365907,33.8166289139531,93.2447814110675,92.8097464656703,8.99667828158092,84.46323,84.46323,13.71315,1.325187
0.33,S,0.33,0.08578595,0,0.579987,0,480.33,43.87374,0.9236907,0,70.63037,88.07777,3.387844,319.53423270511,317.722784627242,33.9758443479304,96.4399723464452,95.9869742409261,9.33643671746603,84.44444,84.44444,14.67301,1.416853
0.3399999,S,0.3399999,0.08872586,0,0.5791137,0,480.7791,43.85385,0.9865689,0,70.61948,88.07777,3.38996,319.977320949312,318.151711581562,34.1317204316097,99.6395934138514,99.1684912856293,9.67775391415309,84.42622,84.42622,15.6647,1.511924
0.3499999,S,0.3499999,0.09166988,0,0.5791,0,481.2282,43.83395,1.053069,0,70.60857,88.07777,3.392076,320.418254364262,318.578778870923,34.2843897853283,102.843623057843,102.354279003131,10.0205978043432,84.40849,84.40849,16.68824,1.610416
0.3599999,S,0.3599999,0.09461799,0,0.5790865,0,481.6774,43.81402,1.12183,0,70.59768,88.07777,3.394192,320.858047195284,319.004979906094,34.4341290739853,106.052049872948,105.544328730889,10.3649390873864,84.39127,84.39127,17.74368,1.712343
0.3699999,S,0.3699999,0.09757017,0,0.5790735,0,482.1265,43.79408,1.192862,0,70.58678,88.07777,3.396308,321.296685768218,319.430286871574,34.5810947597768,109.264862349163,108.738631528207,10.7107500272547,84.37451,84.37451,18.83107,1.817722
0.3799999,S,0.3799999,0.1005264,0,0.5790607,0,482.5757,43.77412,1.266171,0,70.57588,88.07777,3.398424,321.734179643788,319.854695793719,34.7254363510234,112.482049111338,111.937178414651,11.0580043830032,84.35819,84.35819,19.95044,1.926565
0.3899999,S,0.3899999,0.1034867,0,0.5790483,0,483.0248,43.75414,1.341767,0,70.56499,88.07777,3.40054,322.170529556383,320.2781947516,34.8672924285274,115.703598654116,115.139960290579,11.406677299495,84.34229,84.34229,21.10184,2.038889
0.3999999,S,0.3999999,0.1064511,0,0.5790362,0,483.3515,43.73413,1.419657,0,70.55408,88.07777,3.402656,322.515629844027,320.611102594683,34.9978911752031,118.928598556459,118.346071244864,11.7566562034244,84.32677,84.32677,22.2853,2.154706
0.4099999,S,0.4099999,0.1094187,0,0.5790245,0,483.3925,43.71412,1.499828,0,70.54319,88.07777,3.404772,322.649253119267,320.733772930016,35.105376233529,122.154933811381,121.553408902475,12.107709957913,84.31164,84.31164,23.50084,2.274027
0.4199999,S,0.4199999,0.1123875,0,0.5789632,0,483.4336,43.6941,1.582095,0,70.5323,88.07777,3.406888,322.781516709483,320.855302829786,35.2105406842998,125.382590966154,124.761961859056,12.4598153568858,84.29686,84.29686,24.74846,2.396865
0.4299999,S,0.4299999,0.1153576,0,0.5782716,0,483.4746,43.67407,1.664766,0,70.52139,88.07777,3.409004,322.913585973061,320.976840676843,35.3136199658676,128.611568081759,127.971730194081,12.8129515486513,84.28241,84.28241,26.02817,2.523229
0.4399998,S,0.4399998,0.118329,0,0.5775803,0,483.5156,43.65405,1.749469,0,70.5105,88.07777,3.41112,323.044266437563,321.097190404621,35.4145788121502,131.841851309655,131.182702026356,13.167097328857,84.2683,84.2683,27.34,2.653129
0.4499998,S,0.4499998,0.1213016,0,0.5768892,0,483.5566,43.63402,1.836197,0,70.4996,88.07777,3.413236,323.173643304986,321.216427512337,35.5135245115104,135.073427640128,134.394866229682,13.5222325660342,84.25448,84.25448,28.68395,2.786576
