# Base - Default (Up to date)
# 769 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (105 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,-0.3,-30.022,0.3,30.022,0,0,0,0,0,0,42,-88,32.164,180,0,0,0,40.639,8.5,238.458,1.657,NaN,74.755,NaN,2.688e-4,1.756e4,12.034,-8.812e-5,1.278,-1.278,1.139,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.254e-5,5.15,20.831,90,0,0,59,1013.25,1116.761,0.01,0.003
0.02,-0.001,-0.257,-25.738,0.257,25.738,0,0,0,0,0,0,42,-88,32.164,180,0,0,0,40.638,8.5,238.457,1.657,NaN,74.755,NaN,2.305e-4,1.506e4,36.103,-6.782e-5,1.339,-1.339,1.199,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.79e-5,5.15,20.831,90,0,0,59,1013.25,1116.761,0.01,0.004
0.03,0.003,0.68,68.055,0.68,68.055,0,0,0,0,0,0,42,-88,32.164,0,0,0,0,40.628,8.489,238.407,1.657,NaN,74.749,NaN,6.093e-4,3.981e4,562.936,3.622e-4,1.023,1.023,0.884,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.375e-5,5.15,20.831,90,0,0,59,1013.25,1116.761,0.01,0.005
0.04,0.023,3.194,251.422,3.194,251.422,0,0,0,0,0,0,42,-88,32.164,0,0,0,0,40.618,8.479,238.358,1.657,NaN,74.742,NaN,0.003,1.869e5,1592.534,0.006,0.728,0.728,0.588,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.462e-4,5.15,20.831,90,0,0,59,1013.249,1116.761,0.01,0.005
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.072,6.734,354.079,6.734,354.079,0,0,0,0,0,0,42,-88,32.164,0,0,0,0,40.598,8.459,238.257,1.657,NaN,74.729,NaN,0.006,3.939e5,2167.95,0.022,0.636,0.636,0.496,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.299e-4,5.15,20.831,90,0,0,59,1013.247,1116.761,0.01,0.006
0.06,0.158,10.448,371.458,10.448,371.458,0,0,0,0,0,0,42,-88,32.164,0,0,0,0,40.577,8.438,238.155,1.657,NaN,74.716,NaN,0.009,6.112e5,2264.373,0.049,0.591,0.591,0.452,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,90,0,0,58.999,1013.244,1116.761,0.01,0.007
0.07,0.281,14.07,362.304,14.07,362.304,0,0,0,0,0,0,42,-88,32.164,0,0,0,0,40.557,8.418,238.053,1.657,NaN,74.703,NaN,0.013,8.231e5,2211.927,0.085,0.565,0.565,0.425,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.15,20.831,90,0,0,58.999,1013.24,1116.76,0.01,0.008
