# Base - Ideal Conditions  (Up to date)
# 789 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (115 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.3,-29.963,0.301,30.078,-1.311e-4,0,1.311e-4,180,0.026,2.621,42,-88,32.162,106.451,0,0,0,44.379,8.5,238.48,1.735,NaN,74.83,NaN,7.158e-4,4.207e4,12.034,-2.335e-5,1.009,-0.05,0.869,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.27e-5,5.15,20.831,85,0,0.789,84.234,968.682,1144.634,0.01,0.001
0.02,-0.001,-0.261,-26.055,0.262,26.155,-1.14e-4,0,1.14e-4,180,0.023,2.28,42,-88,32.162,110.885,0,0,0,44.378,8.5,238.479,1.735,NaN,74.83,NaN,5.214e-4,3.065e4,36.103,-2.599e-5,1.094,-0.105,0.955,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.843e-5,5.15,20.831,85,0,0.56,84.234,968.682,1144.634,0.01,0.002
0.03,0.003,0.595,59.504,0.597,59.732,2.602e-4,0,2.602e-4,0,0.052,5.206,42,-88,32.162,27.755,0,0,0,44.368,8.489,238.43,1.735,NaN,74.825,NaN,6.18e-4,3.633e4,562.936,4.245e-4,1.047,1.217,0.908,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.493e-5,5.15,20.831,85,0,0.331,84.234,968.682,1144.634,0.01,0.003
0.04,0.02,2.862,226.77,2.873,227.636,0.002,0,0.002,0,0.25,19.84,42,-88,32.162,2.012,0,0,0,44.358,8.479,238.381,1.735,NaN,74.819,NaN,0.003,1.481e5,1592.534,0.004,0.762,0.771,0.622,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.124e-4,5.15,20.831,85,0,0.102,84.234,968.682,1144.634,0.01,0.003
0.05,0.065,6.066,320.4,6.089,321.624,0.006,0,0.006,0,0.531,28.031,42,-88,32.162,1.196,0,0,0,44.338,8.459,238.281,1.735,NaN,74.807,NaN,0.005,3.121e5,2167.95,0.017,0.662,0.665,0.523,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.619e-4,5.15,20.831,85,0,0.127,84.234,968.681,1144.634,0.01,0.004
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.142,9.427,336.237,9.463,337.522,0.012,0,0.012,0,0.825,29.417,42,-88,32.162,0.932,0,0,0,44.317,8.438,238.18,1.735,NaN,74.795,NaN,0.008,4.853e5,2264.373,0.038,0.614,0.615,0.474,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,85,0,0.154,84.234,968.68,1144.634,0.01,0.004
0.07,0.253,12.705,327.874,12.754,329.126,0.022,0,0.022,0,1.112,28.685,42,-88,32.162,0.812,0,0,0,44.297,8.418,238.078,1.735,NaN,74.783,NaN,0.011,6.541e5,2211.927,0.066,0.585,0.586,0.446,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,85,0,0.181,84.234,968.678,1144.633,0.01,0.004
