# Base - Poor Conditions (Up to date)
# 884 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (121 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.291,-29.083,0.295,29.531,-2.564e-4,0,2.564e-4,180,0.051,5.128,42,-88,32.162,80.775,0,0,0,40.639,8.5,238.458,1.657,NaN,74.755,NaN,0.02,1.418e6,12.034,0.002,0.521,0.005,0.382,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.24e-5,5.15,20.831,80,0,21.545,30.847,1033.963,1085.665,0.01,0.002
0.02,-0.001,-0.249,-24.864,0.252,25.248,-2.192e-4,0,2.192e-4,180,0.044,4.384,42,-88,32.162,80.666,0,0,0,40.638,8.5,238.457,1.657,NaN,74.755,NaN,0.02,1.411e6,36.103,0.002,0.522,0.005,0.382,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.77e-5,5.15,20.831,80,0,21.438,30.847,1033.963,1085.665,0.01,0.003
0.03,0.003,0.675,67.504,0.685,68.545,5.95e-4,0,5.95e-4,0,0.119,11.903,42,-88,32.162,78.198,0,0,0,40.628,8.489,238.407,1.657,NaN,74.749,NaN,0.02,1.416e6,562.936,0.004,0.522,0.01,0.382,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.518e-5,5.15,20.831,80,0,21.331,30.847,1033.963,1085.665,0.01,0.004
0.04,0.023,3.155,248.084,3.204,251.911,0.004,0,0.004,0,0.556,43.744,42,-88,32.162,71.757,0,0,0,40.618,8.479,238.358,1.657,NaN,74.742,NaN,0.02,1.452e6,1592.534,0.014,0.52,0.034,0.38,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.515e-4,5.15,20.831,80,0,21.224,30.847,1033.962,1085.665,0.01,0.005
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.072,6.646,349.179,6.749,354.566,0.013,0,0.013,0,1.172,61.57,42,-88,32.162,63.397,0,0,0,40.598,8.459,238.257,1.657,NaN,74.729,NaN,0.021,1.534e6,2167.95,0.042,0.516,0.094,0.376,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.403e-4,5.15,20.831,80,0,21.118,30.847,1033.961,1085.665,0.01,0.006
0.06,0.156,10.308,366.29,10.467,371.94,0.028,0,0.028,0,1.818,64.587,42,-88,32.162,55.936,0,0,0,40.577,8.438,238.155,1.657,NaN,74.716,NaN,0.023,1.668e6,2264.373,0.092,0.51,0.175,0.37,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,80,0,21.266,30.847,1033.959,1085.665,0.01,0.006
0.07,0.277,13.88,357.269,14.094,362.78,0.049,0,0.049,0,2.447,62.996,42,-88,32.162,49.814,0,0,0,40.557,8.418,238.053,1.657,NaN,74.703,NaN,0.025,1.821e6,2211.927,0.161,0.504,0.257,0.364,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.15,20.831,80,0,21.414,30.846,1033.956,1085.664,0.01,0.007
