Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,40.6,0,0,74.76,88.60466,2.688283,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.3971693,0,5.55294,40.6,0,0,74.74825,88.60466,2.690565,0,0,0,0,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.010,0,0.3971693,0,10.96376,40.59988,0,0,74.7365,88.60466,2.692846,0,0,0,0,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.010,0,0.3971693,0,242.4267,40.59955,0,0,74.72475,88.60466,2.695127,159.942314345235,159.942314344884,0.000335306213542898,1.59942300000351,1.599423,0.000003353062,89.9999,89.9999,0.007997115,0.00000001676531
0.04,S,0.04,0.010,0,0.3971692,0,473.8896,40.59431,0.0001668703,0,74.71301,88.60466,2.697409,343.418507418455,343.418507417829,0.000655532567848516,5.03360800000975,5.033608,0.000009908388,89.9999,89.9999,0.04116227,0.00000008307256
0.05,S,0.05,0.010,0,0.3971691,0,501.1441,40.57948,0.001652763,0,74.70126,88.60466,2.699691,365.163727427974,365.163727427315,0.00069348513543806,8.68524600001633,8.685246,0.00001684324,89.9999,89.9999,0.1097565,0.0000002168307
0.05999999,S,0.05999999,0.010,0,0.3971688,0,506.0874,40.55929,0.004920566,0,74.68951,88.60466,2.701972,369.280210864501,369.280210863836,0.000700669757471312,12.378050000023,12.37805,0.00002384994,89.9999,89.9999,0.215073,0.0000004202966
0.06999999,S,0.06999999,0.01111383,0,0.4093727,0,488.7194,40.5382,0.01030144,0,74.67776,88.60466,2.704253,355.700304444399,355.700304443755,0.000676968349706805,15.9350500000294,15.93505,0.00003061962,89.9999,89.9999,0.3566385,0.0000006926444
0.07999999,S,0.07999999,0.01430755,0,0.4327575,0,482.5963,40.5176,0.0180478,0,74.66601,88.60466,2.706535,351.029176824698,351.029176824061,0.000668815695356812,19.4453400000358,19.44534,0.00003730778,89.9999,89.9999,0.5335405,0.000001032281
0.08999999,S,0.08999999,0.01745933,0,0.4459811,0,481.2925,40.49756,0.02769608,0,74.65426,88.60466,2.708817,350.175336411759,350.175336411123,0.000667325459636492,22.9470900000422,22.94709,0.00004398103,89.9999,89.9999,0.7455027,0.000001438725
0.09999999,S,0.09999999,0.02060346,0,0.4540267,0,479.9888,40.4776,0.03926495,0,74.6425,88.60466,2.711098,349.318362141739,349.318362141104,0.000665829758988631,26.4402700000485,26.44027,0.00005063933,89.9999,89.9999,0.9924394,0.000001911827
0.11,S,0.11,0.02373989,0,0.4591018,0,478.685,40.4577,0.05271162,0,74.63075,88.60466,2.713379,348.458483680767,348.458483680134,0.000664328989141197,29.9248500000548,29.92485,0.00005728262,89.9999,89.9999,1.274265,0.000002451437
0.12,S,0.12,0.02686862,0,0.4623579,0,477.3812,40.43785,0.06799933,0,74.619,88.60466,2.715661,347.595789954848,347.595789954216,0.000662823305327504,33.4008100000611,33.40081,0.00006391085,89.9999,89.9999,1.590893,0.000003057404
0.13,S,0.13,0.02998961,0,0.4644439,0,476.0774,40.41806,0.08509539,0,74.60725,88.60466,2.717942,346.730330576692,346.730330576061,0.000661312794137471,36.8681100000675,36.86811,0.00007052397,89.9999,89.9999,1.942238,0.000003729578
