Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,44.4,0,0,74.83,88.60466,2.674691,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.4131557,0,5.381022,44.4,0,0,74.81939,88.60466,2.676752,0,0,0,0,0,0,85,85,0,0
0.02,S,0.02,0.010,0,0.4131557,0,10.79184,44.39989,0,0,74.80878,88.60466,2.678813,0,0,0,0,0,0,85,85,0,0
0.03,S,0.03,0.010,0,0.4131557,0,242.2547,44.39955,0,0,74.79816,88.60466,2.680874,143.524990267576,142.707145042883,15.3001171569792,1.43524945828492,1.427071,0.1530012,85,85,0.007135355,0.000765006
0.04,S,0.04,0.010,0,0.4131557,0,473.7177,44.39431,0.0001559436,0,74.78754,88.60466,2.682935,311.279563120888,309.838070085779,29.9221781000408,4.54799092442646,4.525452,0.452223,85,85,0.03689797,0.003791127
0.05,S,0.05,0.010,0,0.4131556,0,500.9722,44.37948,0.001565855,0,74.77693,88.60466,2.684995,331.151356129318,329.635000020343,31.6541849977954,7.85949018822405,7.821802,0.7687649,85,85,0.09863424,0.009896066
0.05999999,S,0.05999999,0.010,0,0.4131553,0,505.9155,44.35929,0.004676277,0,74.76632,88.60466,2.687056,334.899615294778,333.369128319358,31.9808787900108,11.2084767299788,11.15549,1.088574,85,85,0.1935207,0.01918276
0.06999999,S,0.06999999,0.01031138,0,0.4162821,0,488.5475,44.3382,0.009582484,0,74.75571,88.60466,2.689117,322.467933901276,320.984302338387,30.8973469232622,14.4331508564338,14.36533,1.397547,85,85,0.3211248,0.03161336
0.07999999,S,0.07999999,0.01327796,0,0.4376448,0,482.4244,44.3176,0.01670475,0,74.74509,88.60466,2.691178,318.182460672654,316.714973025792,30.5238290680701,17.6149746453996,17.53248,1.702785,85,85,0.4806138,0.04711502
0.08999999,S,0.08999999,0.01620513,0,0.4495144,0,481.1206,44.29756,0.02555653,0,74.73448,88.60466,2.693239,317.387559726107,315.923066076442,30.4545462903869,20.788848842957,20.69171,2.00733,85,85,0.6717348,0.0656656
0.09999999,S,0.09999999,0.01912499,0,0.4566067,0,479.8168,44.2776,0.03615725,0,74.72386,88.60466,2.6953,316.589999161974,315.128509397461,30.3850314186565,23.9547432810894,23.84299,2.31118,85,85,0.8944082,0.08725815
0.11,S,0.11,0.02203752,0,0.4609821,0,478.5131,44.2577,0.0484682,0,74.71325,88.60466,2.697361,315.790051734971,314.331574666131,30.3153087183069,27.1126476760048,26.98631,2.614333,85,85,1.148555,0.1118857
0.12,S,0.12,0.02494271,0,0.4637066,0,477.2093,44.23785,0.06245604,0,74.70264,88.60466,2.699422,314.987721960152,313.532266401053,30.2453783422371,30.2625220318799,30.12163,2.916787,85,85,1.434094,0.1395413
0.13,S,0.13,0.02784051,0,0.4653773,0,475.9055,44.21806,0.07809079,0,74.69202,88.60466,2.701483,314.183075771539,312.730650285312,30.1752460369473,33.40435606946,33.24894,3.218539,85,85,1.750947,0.1702179
0.14,S,0.14,0.03073093,0,0.4663496,0,474.6017,44.19832,0.09534524,0,74.68141,88.60466,2.703544,313.376110580111,311.926723736982,30.1049115765233,36.5381197963024,36.36821,3.519588,85,85,2.099033,0.2039086
0.15,S,0.15,0.03361394,0,0.4668458,0,473.2979,44.17863,0.1141941,0,74.6708,88.60466,2.705605,312.566844655136,311.120504953849,30.0343765530404,39.6637931103215,39.47942,3.819932,85,85,2.478271,0.2406062
0.16,S,0.16,0.0364895,0,0.4670104,0,472.6953,44.159,0.1346136,0,74.66018,88.60466,2.707666,312.266100015665,310.820892673274,30.0081638355738,42.7864551692268,42.58763,4.120014,85,85,2.888606,0.2803059
0.17,S,0.17,0.03936232,0,0.46694,0,473.1444,44.13941,0.1566186,0,74.64957,88.60466,2.709727,312.730157751615,311.283203148192,30.0486107025142,45.913754613491,45.70046,4.4205,85,85,3.330047,0.3230085
0.18,S,0.18,0.04223941,0,0.4666998,0,473.5934,44.11982,0.1802555,0,74.63895,88.60466,2.711787,313.193502551668,311.74480329285,30.0889956709094,49.0456915348653,48.81791,4.72139,85,85,3.802639,0.3687179
0.19,S,0.19,0.04512079,0,0.4663358,0,474.0425,44.10021,0.2055232,0,74.62834,88.60466,2.713848,313.656184589442,312.205743139013,30.129322631327,52.1822558880129,51.93997,5.022683,85,85,4.306428,0.4174383
0.2,S,0.2,0.04800644,0,0.4658813,0,474.4916,44.08059,0.2324214,0,74.61773,88.60466,2.715909,314.118216461703,312.666035212949,30.1695929255984,55.3234376276833,55.06663,5.324379,85,85,4.841461,0.4691736
0.21,S,0.21,0.05089635,0,0.4653606,0,474.9407,44.06094,0.2609502,0,74.60712,88.60466,2.71797,314.57962009736,313.125701361454,30.2098084650795,58.4692367081662,58.19789,5.626477,85,85,5.407784,0.5239279
0.22,S,0.22,0.05379053,0,0.4647919,0,475.3898,44.04128,0.2911102,0,74.5965,88.60466,2.720031,315.040417259721,313.584763266335,30.2499711466912,61.6196432219787,61.33374,5.928977,85,85,6.005442,0.5817052
0.23,S,0.23,0.05668896,0,0.4641888,0,475.8389,44.02159,0.3229022,0,74.58588,88.60466,2.722092,315.500584610792,314.043197677932,30.2900789363608,64.7746470322334,64.47417,6.231878,85,85,6.634481,0.6425094
0.24,S,0.24,0.05959165,0,0.4635619,0,476.288,44.00189,0.3563275,0,74.57527,88.60466,2.724153,315.960143509588,314.501025875268,30.3301336957702,67.9342481392158,67.61918,6.535179,85,85,7.294948,0.7063447
0.25,S,0.25,0.06249858,0,0.4629189,0,476.7371,43.98217,0.3913877,0,74.56466,88.60466,2.726214,316.418994998637,314.958149274129,30.3701267986001,71.0984365896014,70.76876,6.838881,85,85,7.986888,0.7732149
0.26,S,0.26,0.06540976,0,0.462266,0,477.1862,43.96243,0.4280847,0,74.55405,88.60466,2.728275,316.877234833361,315.414663269634,30.4100665921768,74.2672022924594,73.9229,7.142982,85,85,8.710346,0.8431243
0.27,S,0.27,0.06832517,0,0.4616078,0,477.6353,43.94268,0.4664205,0,74.54343,88.60466,2.730336,317.334861202834,315.870566058109,30.4499529187081,77.4405452481122,77.0816,7.447482,85,85,9.465368,0.9160766
0.28,S,0.28,0.07124481,0,0.4609482,0,478.0844,43.9229,0.5063975,0,74.53281,88.60466,2.732397,317.791827534746,316.32581124309,30.4897817190386,80.6184653193329,80.24486,7.75238,85,85,10.252,0.9920759
0.29,S,0.29,0.07416869,0,0.4602897,0,478.5335,43.90311,0.5480181,0,74.5222,88.60466,2.734457,318.248176372958,316.780441208632,30.5295567013016,83.8009425991681,83.41266,8.057675,85,85,11.07029,1.071126
0.3,S,0.3,0.07709679,0,0.4596348,0,478.9826,43.88329,0.591285,0,74.51159,88.60466,2.736519,318.703860763262,317.234409177814,30.5692737730557,86.9879770421074,86.585,8.363368,85,85,11.92028,1.153231
0.31,S,0.31,0.08002911,0,0.458985,0,479.4317,43.86346,0.6362013,0,74.50098,88.60466,2.73858,319.15892304183,317.687757327771,30.6089366243312,90.179568602662,89.76188,8.669457,85,85,12.80201,1.238395
0.32,S,0.32,0.08296564,0,0.4583416,0,479.8809,43.84361,0.6827695,0,74.49036,88.60466,2.74064,319.627396223611,317.828419954717,33.8639614601325,93.3756923096119,92.940164128507,9.00809660703214,84.46397,84.46397,13.73141,1.326783
0.33,S,0.33,0.08590639,0,0.4577057,0,480.33,43.82374,0.7309929,0,74.47975,88.60466,2.742701,320.081682630262,318.268194954628,34.0241037463569,96.5763580405566,96.1228460069148,9.34833763689073,84.44522,84.44522,14.69264,1.418565
0.3399999,S,0.3399999,0.08885133,0,0.4572823,0,480.7791,43.80385,0.7812235,0,74.46913,88.60466,2.744762,320.534962801108,318.707270593359,34.1809603264646,99.7815558970464,99.3099186416118,9.69014723251534,84.42702,84.42702,15.68574,1.513758
0.3499999,S,0.3499999,0.0918005,0,0.4572804,0,481.2282,43.78394,0.833916,0,74.45852,88.60466,2.746823,320.986915448433,319.145309111247,34.3346990868754,102.991272417751,102.50137166139,10.0334942157097,84.40933,84.40933,16.71075,1.612376
0.3599999,S,0.3599999,0.09475383,0,0.4572789,0,481.6774,43.76402,0.8884044,0,74.44791,88.60466,2.748884,321.438150147149,319.582902581111,34.4855440417178,106.205500574547,105.697200615769,10.3783496484188,84.39214,84.39214,17.76773,1.714435
