Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,40.6,0,0,74.76,88.60466,2.688283,0,0,0,0,0,0,80,80,0,0
0.010,S,0.010,0.010,0,0.3911058,0,5.569942,40.6,0,0,74.74825,88.60466,2.690565,0,0,0,29.3400001525879,0,0,80,80,0,0
0.02,S,0.02,0.02562147,0,0.4599304,0,10.98076,40.59988,0.0611297,0,74.7365,88.60466,2.692846,0,0,0,29.3400001525879,0,0,80,80,0,0
0.03,S,0.03,0.02562147,0,0.4599304,0,242.4437,40.59955,0.0611297,0,74.72475,88.60466,2.695127,160.493410370325,156.989194429029,33.3545739715276,29.7150447622877,1.569892,0.3335457,80,80,0.00784946,0.001667729
0.04,S,0.04,0.02594898,0,0.4602875,0,473.9066,40.59431,0.06275119,0,74.71301,88.60466,2.697409,343.916555717575,337.676832230111,65.2146783452743,30.7264882484088,4.94666,0.9856925,80,80,0.04043222,0.00826392
0.05,S,0.05,0.02683224,0,0.4611765,0,501.1611,40.57948,0.06722528,0,74.70126,88.60466,2.699691,365.656694704162,359.08934726619,68.9902823730608,32.1691929300242,8.537554,1.675595,80,80,0.1078533,0.02157036
0.05999999,S,0.05999999,0.0280921,0,0.462276,0,506.1044,40.55929,0.07386188,0,74.68951,88.60466,2.701972,369.770035989497,363.140665263656,69.7046393545189,33.9672666231133,12.16896,2.372641,80,80,0.2113859,0.04181153
0.06999999,S,0.06999999,0.0296623,0,0.4634093,0,488.7364,40.5382,0.0825512,0,74.67776,88.60466,2.704253,356.189067696816,349.764437253771,67.3460494704759,35.9764085372621,15.6666,3.046102,80,80,0.3505636,0.06890525
0.07999999,S,0.07999999,0.03141682,0,0.4644177,0,482.6133,40.5176,0.09280686,0,74.66601,88.60466,2.706535,351.516507767197,345.16229028818,66.5345669247507,38.1825163906549,19.11822,3.711448,80,80,0.5244877,0.102693
0.08999999,S,0.08999999,0.03334335,0,0.46527,0,481.3095,40.49756,0.1047292,0,74.65426,88.60466,2.708817,350.660946299314,344.319620077347,66.3859811204266,40.5677116373821,22.56141,4.375308,80,80,0.7328859,0.1431268
0.09999999,S,0.09999999,0.03542627,0,0.4659501,0,480.0058,40.4776,0.1183945,0,74.6425,88.60466,2.711098,349.802391404609,343.474000930201,66.2368758123702,43.100168076822,25.99615,5.037677,80,80,0.9756737,0.1901917
0.11,S,0.11,0.0376378,0,0.4664533,0,478.702,40.4577,0.1337809,0,74.63075,88.60466,2.713379,348.941056246742,342.625642885823,66.0872875193762,45.7534503914416,29.42241,5.69855,80,80,1.252766,0.2438729
0.12,S,0.12,0.03995485,0,0.4667886,0,477.3982,40.43785,0.1508665,0,74.619,88.60466,2.715661,348.077018118674,341.774622063061,65.9372296660961,48.5058535481695,32.84016,6.357923,80,80,1.564079,0.3041552
0.13,S,0.13,0.04235847,0,0.4669724,0,476.0944,40.41806,0.1696292,0,74.60725,88.60466,2.717942,347.210318345436,340.920979155287,65.7867094278093,51.3396562315427,36.24937,7.01579,80,80,1.909527,0.3710238
0.14,S,0.14,0.04483319,0,0.4670237,0,474.7906,40.39832,0.1900473,0,74.5955,88.60466,2.720224,346.340949372178,340.064706712296,65.6357254907834,54.2404195027253,39.65002,7.672147,80,80,2.289024,0.4444635
0.15,S,0.15,0.04736638,0,0.4669619,0,473.4869,40.37863,0.2120996,0,74.58376,88.60466,2.722505,345.468952142138,339.205845051268,65.4842849639652,57.1963524680319,43.04208,8.326989,80,80,2.702484,0.5244591
0.16,S,0.16,0.04994778,0,0.466805,0,472.8842,40.35899,0.2357652,0,74.57201,88.60466,2.724787,345.153143132132,338.894793190404,65.429438041478,60.2026685764034,46.43103,8.981283,80,80,3.14985,0.6110005
0.17,S,0.17,0.05257317,0,0.4665689,0,473.3333,40.33941,0.2610653,0,74.56026,88.60466,2.727068,345.674011756272,339.407815786897,65.5198976376127,63.2590528392253,49.82511,9.636482,80,80,3.631131,0.7040893
0.18,S,0.18,0.05524231,0,0.4662666,0,473.7824,40.31982,0.2880552,0,74.54851,88.60466,2.72935,346.194085912711,339.920055680471,65.610219227823,66.359389364688,53.22431,10.29258,80,80,4.146378,0.8037346
0.19,S,0.19,0.05794984,0,0.4659098,0,474.2315,40.30021,0.3167353,0,74.53676,88.60466,2.731631,346.713517950558,340.431662825158,65.7004297988206,69.4985756693294,56.62863,10.94958,80,80,4.695642,0.9099454
0.2,S,0.2,0.06069132,0,0.4655083,0,474.6805,40.28058,0.3471062,0,74.52501,88.60466,2.733913,347.232228494574,340.942559244083,65.7905145245348,72.6723109817897,60.03806,11.60748,80,80,5.278976,1.022731
0.21,S,0.21,0.06346298,0,0.4650707,0,475.1296,40.26094,0.3791691,0,74.51326,88.60466,2.736194,347.750273596534,341.452800045571,65.880483661731,75.8769644908385,63.45259,12.26628,80,80,5.896429,1.142099
0.22,S,0.22,0.06626166,0,0.4646042,0,475.5787,40.24127,0.4129255,0,74.50151,88.60466,2.738476,348.267676251955,341.962407880335,65.9703412043621,79.1094612128019,66.87222,12.92598,80,80,6.548053,1.268061
0.23,S,0.23,0.06908467,0,0.4641147,0,476.0278,40.22159,0.4483766,0,74.48976,88.60466,2.740757,348.784435205027,342.471381513081,66.0600869346336,82.3671723485615,70.29694,13.58658,80,80,7.233899,1.400624
0.24,S,0.24,0.07192973,0,0.4636074,0,476.4769,40.20189,0.4855245,0,74.47801,88.60466,2.743039,349.300499823962,342.979671076437,66.1497120596042,85.6478426145341,73.72674,14.24808,80,80,7.954018,1.539797
0.25,S,0.25,0.07479487,0,0.4630865,0,476.926,40.18217,0.524371,0,74.46626,88.60466,2.74532,349.815831873782,343.487238913673,66.2392099364693,88.9495259532079,77.16161,14.91047,80,80,8.70846,1.68559
0.26,S,0.26,0.07767836,0,0.4625556,0,477.3751,40.16243,0.5649188,0,74.45451,88.60466,2.747602,350.330538679611,343.994190733957,66.3285992075538,92.2705571478784,80.60155,15.57376,80,80,9.497275,1.838011
0.27,S,0.27,0.08057878,0,0.4620177,0,477.8242,40.14267,0.6071697,0,74.44276,88.60466,2.749883,350.844545052387,344.500452482656,66.41786681505,95.6094722314569,84.04655,16.23794,80,80,10.32052,1.997069
0.28,S,0.28,0.08349484,0,0.4614753,0,478.2733,40.1229,0.6511267,0,74.43102,88.60466,2.752165,351.35789725924,345.006069731356,66.5070207944794,98.9649985873681,87.4966,16.90301,80,80,11.17823,2.162774
0.29,S,0.29,0.08642544,0,0.4609304,0,478.7225,40.1031,0.6967924,0,74.41926,88.60466,2.754446,351.870568614456,345.51101619798,66.5960565116245,102.336039629483,90.95171,17.56897,80,80,12.07047,2.335134
0.3,S,0.3,0.0893696,16.74434,0.4603848,0,479.1716,40.08329,0.7441701,0,74.40751,88.60466,2.756728,352.382568229035,346.0153,66.68498,105.72161526093,94.41187,18.23582,80,79.06784,13.01459,2.514158
0.31,S,0.31,0.0923265,16.21714,1.411252,2.950179,479.6207,40.06346,2.434528,5.419501,74.39576,88.60466,2.759009,351.601356515273,346.0017,62.5007,109.097327690309,97.87189,18.86083,79.99741,79.09228,13.99331,2.699641
0.32,S,0.32,0.09527481,15.71488,1.352454,2.866261,480.0698,40.04361,2.484399,5.597385,74.38401,88.60466,2.761291,352.112188743284,346.5271,62.46569,112.486251028731,101.3372,19.48549,79.98955,79.1158,15.00668,2.891373
0.33,S,0.33,0.09823469,15.2351,1.298064,2.785525,480.519,40.02374,2.534857,5.773518,74.37226,88.60466,2.763572,352.623251206345,347.0462,62.46673,115.887757766988,104.8077,20.11016,79.97632,79.13829,16.05476,3.089351
0.3399999,S,0.3399999,0.1012056,14.77559,1.247599,2.707705,480.9681,40.00385,2.585806,5.947543,74.36051,88.60466,2.765854,353.134731379401,347.559,62.50504,119.301298285681,108.2833,20.73521,79.95759,79.15964,17.13759,3.293578
