# Base - Default (Up to date)
# 769 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (106 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.002,-0.3,-30.027,0.3,30.027,0,0,0,0,0,0,42,-88,32.164,132.466,0,0,0,40.747,8.5,242.165,1.632,NaN,70.989,NaN,3.983e-4,2.528e4,12.034,-9.858e-5,1.129,-0.652,0.99,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.254e-5,5.15,20.831,90,0,0.328,59,1013.25,1116.761,0.01,0.009
0.02,-0.001,-0.258,-25.755,0.258,25.755,0,0,0,0,0,0,42,-88,32.164,128.132,0,0,0,40.747,8.5,242.164,1.632,NaN,70.988,NaN,3.735e-4,2.371e4,36.103,-6.894e-5,1.15,-0.518,1.01,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.791e-5,5.15,20.831,90,0,0.328,59,1013.25,1116.761,0.01,0.013
0.03,0.003,0.678,67.789,0.678,67.789,0,0,0,0,0,0,42,-88,32.164,25.83,0,0,0,40.737,8.489,242.113,1.632,NaN,70.982,NaN,6.743e-4,4.281e4,562.936,5.138e-4,0.985,1.185,0.845,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.346e-5,5.15,20.831,90,0,0.328,59,1013.25,1116.761,0.01,0.017
0.04,0.023,3.184,250.668,3.184,250.668,0,0,0,0,0,0,42,-88,32.164,5.883,0,0,0,40.727,8.479,242.061,1.632,NaN,70.975,NaN,0.003,1.82e5,1592.534,0.006,0.718,0.777,0.579,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.451e-4,5.15,20.831,90,0,0.328,59,1013.249,1116.761,0.01,0.021
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.072,6.714,353.052,6.714,353.052,0,0,0,0,0,0,42,-88,32.164,2.798,0,0,0,40.706,8.459,241.955,1.632,NaN,70.962,NaN,0.006,3.821e5,2167.95,0.022,0.628,0.641,0.488,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.276e-4,5.15,20.831,90,0,0.328,59,1013.247,1116.761,0.01,0.023
0.06,0.158,10.417,370.384,10.417,370.384,0,0,0,0,0,0,42,-88,32.164,1.804,0,0,0,40.686,8.438,241.849,1.632,NaN,70.949,NaN,0.009,5.925e5,2264.373,0.049,0.584,0.589,0.444,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,90,0,0.328,58.999,1013.244,1116.761,0.01,0.026
0.07,0.28,14.028,361.254,14.028,361.254,0,0,0,0,0,0,42,-88,32.164,1.34,0,0,0,40.665,8.418,241.742,1.632,NaN,70.935,NaN,0.013,7.977e5,2211.927,0.084,0.557,0.56,0.418,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.15,20.831,90,0,0.328,58.999,1013.24,1116.76,0.01,0.028
