# Base - Poor Conditions (Up to date)
# 849 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (121 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.291,-29.088,0.295,29.537,-2.565e-4,0,2.565e-4,180,0.051,5.129,42,-88,32.162,80.808,0,0,0,40.747,8.5,242.165,1.632,NaN,70.989,NaN,0.019,1.322e6,12.034,0.002,0.518,0.005,0.378,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.24e-5,5.15,20.831,80,0,20.671,30.847,1033.963,1085.665,0.01,0.003
0.02,-0.001,-0.249,-24.881,0.253,25.265,-2.194e-4,0,2.194e-4,180,0.044,4.387,42,-88,32.162,80.69,0,0,0,40.747,8.5,242.164,1.632,NaN,70.988,NaN,0.019,1.325e6,36.103,0.002,0.518,0.005,0.378,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.771e-5,5.15,20.831,80,0,20.713,30.847,1033.963,1085.665,0.01,0.005
0.03,0.003,0.672,67.241,0.683,68.279,5.927e-4,0,5.927e-4,0,0.119,11.856,42,-88,32.162,78.155,0,0,0,40.737,8.489,242.113,1.632,NaN,70.982,NaN,0.019,1.339e6,562.936,0.004,0.517,0.01,0.377,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.489e-5,5.15,20.831,80,0,20.754,30.847,1033.963,1085.665,0.01,0.006
0.04,0.022,3.145,247.342,3.194,251.157,0.004,0,0.004,0,0.555,43.613,42,-88,32.162,71.619,0,0,0,40.727,8.479,242.061,1.632,NaN,70.975,NaN,0.02,1.384e6,1592.534,0.013,0.514,0.035,0.375,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.504e-4,5.15,20.831,80,0,20.796,30.847,1033.962,1085.665,0.01,0.008
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.071,6.626,348.168,6.728,353.539,0.013,0,0.013,0,1.168,61.391,42,-88,32.162,63.243,0,0,0,40.706,8.459,241.955,1.632,NaN,70.962,NaN,0.021,1.473e6,2167.95,0.041,0.51,0.095,0.37,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.381e-4,5.15,20.831,80,0,20.838,30.847,1033.961,1085.665,0.01,0.01
0.06,0.156,10.277,365.232,10.436,370.867,0.027,0,0.027,0,1.812,64.4,42,-88,32.162,55.888,0,0,0,40.686,8.438,241.849,1.632,NaN,70.949,NaN,0.023,1.613e6,2264.373,0.091,0.504,0.174,0.364,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.15,20.831,80,0,21.151,30.847,1033.959,1085.665,0.01,0.01
0.07,0.276,13.839,356.235,14.052,361.731,0.049,0,0.049,0,2.44,62.814,42,-88,32.162,49.932,0,0,0,40.665,8.418,241.742,1.632,NaN,70.935,NaN,0.025,1.771e6,2211.927,0.158,0.497,0.252,0.358,0.011,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.15,20.831,80,0,21.464,30.846,1033.956,1085.664,0.01,0.011
