#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 16162, 3,N0CALL,    -1.83, -81,   7, 3,   boost,    0.98,  99116.00,  185.53,    0.25,    0.00, 17.3, 4.11, 4.11, 4.08,  -9.81,  -0.55,  -0.35,  -1.40,  -0.55,   0.73,  -0.36,   0.07,  -0.10,   3.00, 4.08, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770687, -86.5781874,   191.0, 2026,  3,  8, 15, 39,  6,        0,        0, 228,   0,   0.9,   0.5,   0.7, 42, 46,  0,  0,  0,  0, 36, 45,  0,  0,  0,  0, 33, 32, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,    -1.83, -81,   6, 3,   boost,    0.98,  99116.00,  185.53,    0.25,    0.00, 17.3, 4.11, 4.11, 4.08,  -9.81,  -0.55,  -0.35,  -1.40,  -0.55,   0.73,  -0.36,   0.07,  -0.10,   3.00, 4.08, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770687, -86.5781874,   191.0, 2026,  3,  8, 15, 39,  6,        0,        0, 228,   0,   0.9,   0.5,   0.7, 42, 46,  0,  0,  0,  0, 36, 45,  0,  0,  0,  0, 33, 32, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,    -1.77, -81,   6, 3,   boost,    0.98,  99116.00,  185.53,    0.25,    0.00, 17.3, 4.11, 4.11, 4.08,  -9.81,  -0.55,  -0.35,  -1.40,  -0.55,   0.73,  -0.36,   0.07,  -0.10,   3.00, 4.08, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770687, -86.5781874,   191.0, 2026,  3,  8, 15, 39,  6,        0,        0, 228,   0,   0.9,   0.5,   0.7, 42, 46,  0,  0,  0,  0, 36, 45,  0,  0,  0,  0, 33, 32, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,    -1.74, -82,  13, 3,   boost,    0.98,  99116.00,  185.53,    0.25,    0.00, 17.3, 4.11, 4.11, 4.08,  -9.81,  -0.55,  -0.35,  -1.40,  -0.55,   0.73,  -0.36,   0.07,  -0.10,   3.00, 4.08, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770687, -86.5781874,   191.0, 2026,  3,  8, 15, 39,  6,        0,        0, 228,   0,   0.9,   0.5,   0.7, 42, 46,  0,  0,  0,  0, 36, 45,  0,  0,  0,  0, 33, 32, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,    -0.87, -72,   7, 3,   boost,    0.98,  99116.00,  185.53,    0.25,    0.00, 17.3, 4.11, 4.11, 4.08,  -9.81,  -0.55,  -0.35,  -1.40,  -0.55,   0.73,  -0.36,   0.07,  -0.10,   3.00, 4.08, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770689, -86.5781871,   191.0, 2026,  3,  8, 15, 39,  7,        0,        0,   0,   0,   1.0,   0.5,   0.8, 42, 46,  0,  0,  0,  0, 36, 44,  0,  0,  0,  0, 32, 31, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,    -0.76, -82,   5, 3,   boost,    1.47,  99114.00,  185.70,    0.42,    1.22, 17.3, 4.11, 4.11, 4.08,  -9.79,   0.06,  -0.46,  -0.24,  -0.67,   0.31,  -0.36,   0.07,  -0.10,   3.00, 4.08, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770689, -86.5781871,   191.0, 2026,  3,  8, 15, 39,  7,        0,        0,   0,   0,   1.0,   0.5,   0.8, 42, 46,  0,  0,  0,  0, 36, 44,  0,  0,  0,  0, 32, 31, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,    -0.73, -82,   7, 3,   boost,    1.47,  99114.00,  185.70,    0.42,    1.22, 17.3, 3.99, 4.11, 4.09,  -9.79,   0.06,  -0.46,  -0.24,  -0.67,   0.31,  -0.36,   0.07,  -0.10,   3.00, 4.10, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770689, -86.5781871,   191.0, 2026,  3,  8, 15, 39,  7,        0,        0,   0,   0,   1.0,   0.5,   0.8, 42, 46,  0,  0,  0,  0, 36, 44,  0,  0,  0,  0, 32, 31, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,    -0.03, -86,   9, 3,   boost,  117.68,  99131.00,  184.26,   -1.02,   44.64, 17.3, 3.99, 4.11, 4.09,-131.19,   0.60,   1.73,   2.44,  15.32,  -0.06,  -0.36,   0.07,  -0.09,   3.00, 4.10, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770689, -86.5781871,   191.0, 2026,  3,  8, 15, 39,  7,        0,        0,   0,   0,   1.0,   0.5,   0.8, 42, 46,  0,  0,  0,  0, 36, 44,  0,  0,  0,  0, 32, 31, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,     0.00, -82,  17, 3,   boost,  117.68,  99131.00,  184.26,   -1.02,   44.64, 17.3, 3.99, 3.99, 4.08,-131.19,   0.60,   1.73,   2.44,  15.32,  -0.06,  -0.36,   0.07,  -0.09,   3.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770689, -86.5781871,   191.0, 2026,  3,  8, 15, 39,  7,        0,        0,   0,   0,   1.0,   0.5,   0.8, 42, 46,  0,  0,  0,  0, 36, 44,  0,  0,  0,  0, 32, 31, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
6, 16162, 3,N0CALL,     0.07, -79,   5, 3,   boost,  143.67,  99094.00,  187.39,    2.12,   57.69, 17.3, 3.99, 3.99, 4.08,-151.78,  -1.21,  16.48, -60.55,  -3.11,   6.23,  -0.36,   0.06,  -0.09,   3.00, 4.09, 0.00, 0.00, 0.00, 0.00, 1, 1, 15,  41.7770689, -86.5781871,   191.0, 2026,  3,  8, 15, 39,  7,        0,        0,   0,   0,   1.0,   0.5,   0.8, 42, 46,  0,  0,  0,  0, 36, 44,  0,  0,  0,  0, 32, 31, 43,  0, 43,  0, 42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0
