#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11115, 8,KC9SZP,    -0.30, 3,   boost,    1.47,  99274.00,  172.15,   -0.08,    0.01, 40.8, 0.00, 3.94, 3.96,   9.84,  -0.07,  -0.43,  -0.13,   0.12,   0.07,   0.12,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.29, 3,   boost,    1.47,  99274.00,  172.15,   -0.08,    0.01, 40.8, 0.00, 3.94, 3.96,   9.82,  -0.05,  -0.45,  -0.01,   0.06,  -0.06,   0.11,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.28, 3,   boost,   -0.49,  99281.00,  171.55,   -0.68,    0.02, 40.8, 0.00, 3.94, 3.96,   9.83,  -0.04,  -0.42,  -0.01,   0.06,   0.13,   0.11,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.27, 3,   boost,   -0.00,  99281.00,  171.55,   -0.68,    0.02, 40.8, 0.00, 3.94, 3.96,   9.83,  -0.06,  -0.49,  -0.07,  -0.12,  -0.06,   0.12,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.26, 3,   boost,    1.47,  99268.00,  172.65,    0.42,    0.03, 40.8, 0.00, 3.94, 3.96,   9.79,  -0.01,  -0.44,  -0.01,   0.00,  -0.06,   0.12,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.25, 3,   boost,   -0.00,  99268.00,  172.65,    0.42,    0.03, 40.8, 0.00, 3.94, 3.96,   9.85,  -0.04,  -0.43,   0.11,   0.12,   0.25,   0.11,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.24, 3,   boost,    0.98,  99261.00,  173.25,    1.02,    0.03, 40.8, 0.00, 3.94, 3.96,   9.82,  -0.04,  -0.47,  -0.01,   0.06,   0.25,   0.11,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.23, 3,   boost,   -0.00,  99261.00,  173.25,    1.02,    0.04, 40.8, 0.00, 3.94, 3.96,   9.89,  -0.06,  -0.42,  -0.01,   0.18,   0.19,   0.11,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.22, 3,   boost,   -0.49,  99275.00,  172.06,   -0.17,    0.04, 40.8, 0.00, 3.94, 3.96,   9.81,  -0.07,  -0.40,   0.23,   0.06,  -0.12,   0.11,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
6, 11115, 8,KC9SZP,    -0.21, 3,   boost,   -0.00,  99275.00,  172.06,   -0.17,    0.04, 40.8, 0.00, 3.94, 3.96,   9.84,   0.00,  -0.46,   0.05,   0.00,   0.25,   0.11,  -0.54,  -0.12,   2.45, 3.97, 3.95, 0.00, 0.00, 0.00, 1, 1,  9,  41.4881751, -89.4985691,   237.0, 2026,  5, 24, 19, 20, 19,        0,        1,  34, -75,   1.7,   1.0,   1.4,  0,  0,  0,  0, 22,  0,  0,  0,  0,  0, 22,  0,  0,  0, 28, 32,  0, 30,  0, 18, 24,  0, 27,  0, 23, 22,  0,  0, 21,  0,  0,  0
