#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 16162, 5,KC9SZP,    -0.30, 3,   boost,   -0.00,  99178.00,  180.27,    0.25,    0.00, 35.4, 4.02, 4.05, 4.03,  -9.95,  -0.03,   0.16,   0.11,   0.21,   0.02,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.29, 3,   boost,    0.49,  99178.00,  180.27,    0.25,    0.00, 35.4, 4.02, 4.05, 4.03,  -9.96,  -0.04,   0.07,  -0.01,  -0.28,   0.20,  -0.58,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.28, 3,   boost,   -0.49,  99186.00,  179.60,   -0.42,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.91,  -0.06,   0.04,   0.23,   0.03,  -0.04,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.27, 3,   boost,    1.47,  99186.00,  179.60,   -0.42,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.95,  -0.06,   0.01,  -0.19,  -0.10,   0.02,  -0.59,  -0.33,   0.13,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.26, 3,   boost,   -0.00,  99181.00,  180.02,    0.00,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.91,  -0.06,   0.07,  -0.01,   0.27,   0.14,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.25, 3,   boost,    0.49,  99181.00,  180.02,    0.00,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.88,  -0.02,   0.03,  -0.32,  -0.10,   0.08,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.24, 3,   boost,   -0.49,  99176.00,  180.44,    0.42,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.99,  -0.12,  -0.12,  -0.13,  -0.22,   0.08,  -0.58,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.23, 3,   boost,    0.49,  99176.00,  180.44,    0.42,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.96,  -0.08,   0.04,   0.05,  -0.28,   0.14,  -0.58,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.22, 3,   boost,   -0.98,  99186.00,  179.60,   -0.42,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.94,  -0.14,   0.12,  -0.07,  -0.10,   0.02,  -0.58,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.21, 3,   boost,   -0.98,  99186.00,  179.60,   -0.42,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.83,  -0.16,  -0.08,  -0.25,   0.03,   0.08,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.20, 3,   boost,   -1.96,  99185.00,  179.68,   -0.34,    0.00, 35.4, 4.02, 4.05, 4.03,  -9.90,  -0.16,   0.11,   0.05,   0.15,   0.14,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.19, 3,   boost,    0.98,  99185.00,  179.68,   -0.34,    0.00, 35.4, 4.02, 4.05, 4.03,  -9.94,  -0.09,   0.18,   0.05,  -0.03,  -0.35,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.18, 3,   boost,   -0.00,  99182.00,  179.94,   -0.08,    0.00, 35.4, 4.02, 4.05, 4.03, -10.00,  -0.16,   0.16,   0.11,   0.03,  -0.04,  -0.58,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.17, 3,   boost,    0.49,  99182.00,  179.94,   -0.08,    0.01, 35.4, 4.02, 4.05, 4.03,  -9.91,  -0.17,   0.23,   0.05,  -0.03,   0.02,  -0.58,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.16, 3,   boost,    7.85,  99193.00,  179.00,   -1.02,    0.01, 35.4, 4.02, 4.05, 4.03, -10.53,  -0.09,   0.30,  -0.13,  -0.10,  -0.10,  -0.58,  -0.33,   0.13,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.15, 3,   boost,  -51.48,  99193.00,  179.00,   -1.02,    0.04, 35.4, 4.02, 4.05, 4.03, -17.29,   0.17,   1.37,  -0.25,   0.51,  -0.04,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.14, 3,   boost,   10.79,  99225.00,  176.29,   -3.73,    0.13, 35.4, 4.02, 4.05, 4.03, -36.28,  -2.33,  -1.67,  24.77,   0.76,  -1.75,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.13, 3,   boost,   36.28,  99225.00,  176.29,   -3.73,    0.30, 35.4, 4.02, 4.05, 4.03, -19.64,  -0.17,  -4.88,  -4.53,  -2.78,   0.51,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.12, 3,   boost,   55.90,  99209.00,  177.65,   -2.37,    0.59, 35.4, 4.02, 4.05, 4.03, -61.57,  -1.67,  -0.28,   5.30,  -3.39,   1.67,  -0.59,  -0.33,   0.12,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
6, 16162, 5,KC9SZP,    -0.11, 3,   boost,   57.86,  99209.00,  177.65,   -2.37,    0.99, 35.4, 4.02, 4.05, 4.03, -63.04,   0.74,  25.40,  26.17,  17.73,   0.93,  -0.58,  -0.33,   0.13,   0.88, 4.03, 0.01, 0.00, 0.00, 0.00, 1, 1, 15,  41.4882115, -89.4985093,   217.0, 2026,  5, 24, 19, 20, 19,        0,        0, 143,   0,   0.7,   0.4,   0.6,  0,  0,  0,  0, 38,  0,  0,  0,  0,  0, 35,  0,  0,  0, 36, 44,  0, 39,  0, 40, 41,  0, 40,  0, 32, 39,  0,  0, 35, 39,  0,  0
